Line Start,Line End,Rhyme Type,Words
1,2,M,cecile / mile
3,4,M,atake / blake
5,6,M,surplys / grys
7,8,M,see / three
9,10,M,upon / gon
11,12,M,hye / pye
13,14,M,lay / array
15,16,M,man / bigan
17,18,M,understood / good
19,20,M,me / be
21,22,M,laas / paas
23,24,M,wood / hood
25,26,M,heete / swete
27,28,F,stillatorie / paritorie
29,30,M,crye / compaignye
31,32,M,sake / atake
33,34,M,compaignye / curteisye
35,36,M,morwe-tyde / ryde
37,38,M,soverayn / fayn
39,40,F,daliaunce / chaunce
41,42,M,seme / deme
43,44,M,leye / tweye
45,46,M,compaignye / lye
47,48,M,jolitee / me
49,50,M,I / craftily
51,52,M,wise / emprise
53,54,M,heere / leere
55,56,M,yow / prow
57,58,F,aqueyntaunce / balaunce
59,60,F,possessioun / discrecioun
61,62,M,man / than
63,64,M,is / ywis
65,66,M,fewe / shewe
67,68,M,me / ridyng
69,70,M,toun / up-so-doun
71,72,M,gold / ytold
73,74,M,benedicitee / me
75,76,M,prudence / reverence
77,78,M,lite / myte
79,80,M,go / also
81,82,M,preye / beye
83,84,M,speche / biseche
85,86,M,me / thee
87,88,M,seye / preye
89,90,M,bileeve / preeve
91,92,M,vice / nyce
93,94,M,wit / it
95,96,M,soore / namoore
97,98,M,hoost / woost
99,100,M,hertely / sly
101,102,M,be / he
103,104,M,blynde / kynde
105,106,M,residence / presence
107,108,M,sothe / the
109,110,M,face / grace
111,112,M,blowe / trowe
113,114,M,prie / multiplie
115,116,M,fir / desir
117,118,F,conclusioun / illusioun
119,120,M,two / mo
121,122,M,weye / tweye
123,124,M,hope / grope
125,126,M,biforn / sworn
127,128,M,faste / laste
129,130,M,talkyng / thyng
131,132,E,suspecioun / chanoun
133,134,M,is / ywis
135,136,M,drawe / sawe
137,138,M,tho / mo
139,140,M,abye / compaignye
141,142,M,hyde / bityde
143,144,M,myte / lyte
145,146,M,bee / pryvetee
147,148,M,shame / game
149,150,M,telle / quelle
151,152,M,meete / biheete
153,154,M,game / shame
155,156,M,feith / seith
157,158,M,grief / meschief
159,160,M,wise / suffise
161,162,M,art / part
163,164,M,spare / declare
