Line Start,Line End,Rhyme Type,Words
1,2,M,yeer / neer
3,4,M,therby / I
5,6,M,gay / array
7,8,M,heed / reed
9,10,M,hewe / rewe
11,12,M,ye / multiplie
13,14,M,bare / fare
15,16,F,therby / trewely
17,18,F,nevere / evere
19,20,M,therto / ydo
21,22,M,wynne / thynne
23,24,M,folye / jupartye
25,26,M,therto / do
27,28,M,ese / disese
29,30,M,clerk / werk
31,32,M,exercise / wise
33,34,M,queynte / feynte
35,36,E,proporcion / upon
37,38,M,be / quantitee
39,40,M,names / squames
41,42,M,smal / al
43,44,M,papeer / heer
45,46,M,glas / was
47,48,M,enlutyng / nothyng
49,50,M,also / wo
51,52,M,sublymyng / calcenyng
53,54,M,crude / conclude
55,56,F,mercurie / porfurie
57,58,M,certeyn / veyn
59,60,E,ascencioun / adoun
61,62,F,availle / travaille
63,64,M,waye / laye
65,66,M,thyng / apertenyng
67,68,M,kan / man
69,70,M,mynde / kynde
71,72,M,boras / glas
73,74,F,descensories / sublymatories
75,76,M,eek / leek
77,78,M,alle / galle
79,80,M,brymstoon / oon
81,82,F,lunarie / tarie
83,84,M,day / may
85,86,F,calcinacioun / albificacioun
87,88,M,ey / cley
89,90,M,vitriole / cole
91,92,M,preparat / coagulat
93,94,M,oille / argoille
95,96,M,enbibyng / encorporyng
97,98,F,citrinacioun / fermentacioun
99,100,M,mo / also
101,102,F,sevene / nevene
103,104,M,is / ywis
105,106,M,brymstoon / anoon
107,108,M,threpe / clepe
109,110,M,tyn / kyn
111,112,M,excercise / suffise
113,114,M,theraboute / doute
115,116,M,folie / multiplie
117,118,M,cofre / philosophre
119,120,M,leere / frere
121,122,M,wyght / nyght
123,124,M,loore / moore
125,126,M,subtiltee / bee
127,128,M,noon / oon
129,130,F,savacioun / multiplicacioun
131,132,M,ydo / two
133,134,M,rehersaille / lymaille
135,136,F,mollificacioun / induracioun
137,138,F,fusible / bible
139,140,M,beste / reste
141,142,M,ynowe / rowe
143,144,M,stoon / echoon
145,146,M,ynow / avow
147,148,M,ydo / to
149,150,M,good / wood
151,152,M,herte / smerte
153,154,M,afterward / hard
155,156,F,evere / dissevere
157,158,M,hadde / sadde
159,160,M,sweete / sheete
161,162,M,a-nyght / daylyght
163,164,M,craft / laft
165,166,M,goon / brymstoon
167,168,M,goot / hoot
169,170,M,be / me
171,172,M,array / may
173,174,M,pryvely / unthriftily
175,176,M,ere / were
177,178,M,science / innocence
179,180,M,unto / ydo
181,182,M,quantitee / he
183,184,M,boldely / craftily
185,186,M,name / blame
187,188,M,so / go
189,190,M,violence / resistence
191,192,M,stoon / goon
193,194,M,ground / pound
195,196,M,aboute / doute
197,198,M,shewe / shrewe
199,200,M,sire / ire
201,202,M,sayd / apayd
203,204,M,makyng / blowyng
205,206,M,office / nyce
207,208,M,be / me
209,210,M,beech / theech
211,212,M,long / among
213,214,M,doone / eftsoone
215,216,F,crased / amased
217,218,M,swithe / blithe
219,220,M,was / canevas
221,222,M,ythrowe / throwe
223,224,M,metal / al
225,226,M,now / ynow
227,228,F,aventure / endure
229,230,M,prosperitee / see
231,232,M,londe / fonde
233,234,M,plite / wite
235,236,M,woot / over-hoot
237,238,M,this / amys
239,240,M,have / rave
241,242,E,everichoon / salomon
243,244,M,gold / told
245,246,M,eye / crye
247,248,M,us / jhesus
249,250,M,preef / theef
251,252,M,wende / ende
253,254,M,religioun / toun
255,256,M,nynyvee / three
257,258,M,falsnesse / gesse
259,260,M,yeer / peer
261,262,M,wynde / kynde
263,264,M,wight / anonright
265,266,M,is / this
267,268,M,while / mile
269,270,F,aqueyntaunce / governaunce
271,272,M,audience / presence
273,274,M,religious / hous
275,276,M,bee / pardee
277,278,M,compaignye / folye
279,280,M,entente / mente
281,282,M,yow / how
283,284,M,twelve / hymselve
285,286,M,blame / same
287,288,M,me / be
289,290,M,rede / drede
291,292,M,preye / seye
