Line Start,Line End,Rhyme Type,Words
1,2,M,citee / hee
3,4,M,shawe / felawe
5,6,F,fetisly / jolily
7,8,M,revelour / paramour
9,10,M,sweete / meete
11,12,M,hoppe / shoppe
13,14,M,chepe / lepe
15,16,M,yseyn / ayeyn
17,18,M,sort / disport
19,20,M,meete / streete
21,22,M,prentys / dys
23,24,M,free / pryvetee
25,26,M,chaffare / bare
27,28,M,revelour / paramour
29,30,F,abye / mynstralcye
31,32,F,convertible / ribible
33,34,M,degree / see
35,36,M,bood / prentishood
37,38,M,late / newegate
39,40,M,bithoghte / soghte
41,42,M,word / hoord
43,44,F,remenaunt / servaunt
45,46,M,pace / place
47,48,M,acquitance / meschance
49,50,M,leve / leve
51,52,M,lowke / sowke
53,54,M,may / array
55,56,M,sort / disport
57,58,F,contenance / sustenance
