Line Start,Line End,Rhyme Type,Words
1,2,M,contree / degree
3,4,F,execucioun / fornicacioun
5,6,M,bawderye / avowtrye
7,8,F,testamentz / sacramentz
9,10,M,also / wo
11,12,M,hent / yshent
13,14,M,pleyne / peyne
15,16,M,offrynge / synge
17,18,M,hook / book
19,20,F,jurisdiccioun / correccioun
21,22,M,hond / engelond
23,24,M,espiaille / availle
25,26,M,two / mo
27,28,M,hare / spare
29,30,F,correccioun / jurisdiccioun
31,32,F,lyves / styves
33,34,M,cure / mysaventure
35,36,M,tale / gale
37,38,M,deere / frere
39,40,M,hond / engelond
41,42,M,knewe / newe
43,44,F,prively / therby
45,46,M,wan / man
47,48,M,curs / purs
49,50,M,nale / smale
51,52,M,he / duetee
53,54,M,laude / baude
55,56,E,retenue / huwe
57,58,M,were / ere
59,60,M,assent / mandement
61,62,M,two / go
63,64,M,sake / blake
65,66,F,travaille / availle
67,68,M,mo / two
69,70,M,bowe / yknowe
71,72,M,lecchour / paramour
73,74,M,rente / entente
75,76,M,day / pray
77,78,M,ribibe / brybe
79,80,M,ryde / syde
81,82,M,kene / grene
83,84,M,blake / atake
85,86,M,felawe / shawe
87,88,M,day / nay
89,90,M,entente / rente
91,92,M,duetee / he
93,94,M,shame / name
95,96,M,broother / another
97,98,M,contree / thee
99,100,M,leste / cheste
101,102,M,shire / desire
103,104,M,feith / leith
105,106,M,deye / pleye
107,108,M,jangles / waryangles
109,110,M,thyng / dwellyng
111,112,M,seche / speche
113,114,M,contree / see
115,116,M,wisse / mysse
117,118,M,preye / weye
119,120,M,I / feithfully
121,122,M,wynne / synne
123,124,M,ye / he
125,126,M,tale / smale
127,128,M,daungerous / laborous
129,130,M,lyve / yive
131,132,M,violence / dispence
133,134,M,feithfully / I
135,136,M,woot / hoot
137,138,M,prively / I
139,140,F,lyven / shryven
141,142,M,noon / everychoon
143,144,M,jame / name
145,146,M,while / smyle
147,148,M,telle / helle
149,150,M,purchasyng / thyng
151,152,M,rente / entente
153,154,M,how / now
155,156,M,preye / ye
157,158,M,trewely / I
159,160,M,determinat / estat
161,162,M,noon / oon
163,164,M,shape / ape
165,166,M,go / so
167,168,M,thee / he
169,170,M,goon / oon
171,172,M,make / take
173,174,M,labour / somonour
175,176,M,tyme / pryme
177,178,M,day / may
179,180,M,declare / bare
181,182,M,thee / we
183,184,M,instrumentz / comandementz
185,186,F,creatures / figures
187,188,M,certayn / ther-agayn
189,190,M,leve / greve
191,192,M,wo / two
193,194,M,eke / seke
195,196,M,unreste / beste
197,198,F,temptacioun / savacioun
199,200,M,entente / hente
201,202,M,man / dunstan
203,204,M,I / feithfully
205,206,M,alway / nay
207,208,M,aryse / wyse
209,210,M,wel / samuel
211,212,M,he / dyvynytee
213,214,M,jape / shape
215,216,M,deere / leere
217,218,F,experience / sentence
219,220,M,lyve / blyve
221,222,M,thee / me
223,224,M,bityde / wyde
225,226,M,cas / sathanas
227,228,M,brother / oother
229,230,M,cas / purchas
231,232,M,yive / lyve
233,234,M,oother / brother
235,236,M,fey / wey
237,238,M,ende / wende
239,240,M,hey / wey
241,242,M,stood / wood
243,244,F,stones / bones
245,246,F,foled / tholed
247,248,M,hey / pley
249,250,M,were / ere
251,252,M,feith / seith
253,254,M,thee / thre
255,256,M,deel / weel
257,258,M,me / see
259,260,M,croupe / stoupe
261,262,M,blesse / lesse
263,264,M,boy / loy
265,266,M,pardee / thee
267,268,F,brother / another
269,270,M,viage / cariage
271,272,M,towne / rowne
273,274,M,rebekke / nekke
275,276,M,good / wood
277,278,M,office / vice
279,280,M,contree / me
281,282,M,gate / virytrate
283,284,M,thee / benedicitee
285,286,M,wille / bille
287,288,M,be / knee
289,290,F,thynges / kynges
291,292,M,may / day
293,294,M,ryde / syde
295,296,M,somonour / procuratour
297,298,M,me / se
299,300,M,acquite / lite
301,302,M,I / hastily
303,304,E,tarye / marie
305,306,M,synne / wynne
307,308,M,hoold / oold
309,310,M,wrecche / fecche
311,312,M,spilt / gilt
313,314,M,anne / panne
315,316,M,old / cokewold
317,318,F,correccioun / savacioun
319,320,M,wyf / lyf
321,322,M,trewe / hewe
323,324,M,also / so
325,326,M,manere / deere
327,328,M,seye / deye
329,330,F,repente / entente
331,332,M,me / thee
333,334,M,clooth / wrooth
335,336,M,right / to-nyght
337,338,M,privetee / dyvynytee
339,340,M,hente / wente
341,342,M,heritage / ymage
343,344,M,some / bicome
345,346,M,frere / heere
347,348,M,john / oon
349,350,M,agryse / devyse
351,352,M,telle / helle
353,354,M,place / grace
355,356,M,sathanas / cas
357,358,M,alway / may
359,360,M,withstonde / bonde
361,362,M,myght / knyght
363,364,M,repente / hente
