Line Start,Line End,Rhyme Type,Words
1,2,M,soote / roote
3,4,M,licour / flour
5,6,M,breeth / heeth
7,8,M,sonne / yronne
9,10,M,melodye / ye
11,12,F,corages / pilgrimages
13,14,F,strondes / londes
15,16,M,ende / wende
17,18,M,seke / seeke
19,20,M,day / lay
21,22,M,pilgrymage / corage
23,24,M,hostelrye / compaignye
25,26,M,yfalle / alle
27,28,M,ryde / wyde
29,30,M,beste / reste
31,32,M,everichon / anon
33,34,M,ryse / devyse
35,36,M,space / pace
37,38,E,resoun / condicioun
39,40,M,me / degree
41,42,M,inne / bigynne
43,44,M,man / bigan
45,46,M,chivalrie / curteisie
47,48,M,werre / ferre
49,50,F,hethenesse / worthynesse
51,52,M,wonne / bigonne
53,54,M,pruce / ruce
55,56,M,degree / be
57,58,F,belmarye / satalye
59,60,M,see / be
61,62,M,fiftene / tramyssene
63,64,M,foo / also
65,66,M,palatye / turkye
67,68,M,prys / wys
69,70,M,mayde / sayde
71,72,M,wight / knyght
73,74,M,array / gay
75,76,E,gypon / habergeon
77,78,M,viage / pilgrymage
79,80,M,squier / bacheler
81,82,M,presse / gesse
83,84,M,lengthe / strengthe
85,86,F,chyvachie / pycardie
87,88,M,space / grace
89,90,M,meede / reede
91,92,M,day / may
93,94,M,wyde / ryde
95,96,M,endite / write
97,98,M,nyghtertale / nyghtyngale
99,100,F,servysable / table
101,102,M,namo / so
103,104,M,grene / kene
105,106,M,thriftily / yemanly
107,108,M,lowe / bowe
109,110,M,visage / usage
111,112,M,bracer / bokeler
113,114,M,daggere / spere
115,116,M,sheene / grene
117,118,M,gesse / prioresse
119,120,M,coy / loy
121,122,M,eglentyne / dyvyne
123,124,M,semely / fetisly
125,126,M,bowe / unknowe
127,128,M,alle / falle
129,130,M,depe / kepe
131,132,M,brest / lest
133,134,M,clene / sene
135,136,M,draughte / raughte
137,138,M,desport / port
139,140,M,cheere / manere
141,142,M,reverence / conscience
143,144,M,pitous / mous
145,146,M,bledde / fedde
147,148,M,wastel-breed / deed
149,150,M,smerte / herte
151,152,M,was / glas
153,154,M,reed / forheed
155,156,M,trowe / undergrowe
157,158,M,war / bar
159,160,M,grene / sheene
161,162,M,a / omnia
163,164,M,she / thre
165,166,M,maistrie / venerie
167,168,F,able / stable
169,170,M,heere / cleere
171,172,M,belle / celle
173,174,M,beneit / streit
175,176,M,pace / space
177,178,M,hen / men
179,180,F,recchelees / waterlees
181,182,M,cloystre / oystre
183,184,M,good / wood
185,186,M,poure / laboure
187,188,F,served / reserved
189,190,M,aright / flight
191,192,M,hare / spare
193,194,M,hond / lond
195,196,M,chyn / pyn
197,198,M,was / glas
199,200,M,enoynt / poynt
201,202,M,heed / leed
203,204,F,estaat / prelaat
205,206,M,goost / roost
207,208,F,berye / merye
209,210,M,man / kan
211,212,F,langage / mariage
213,214,M,cost / post
215,216,M,he / contree
217,218,M,toun / confessioun
219,220,E,curat / licenciat
221,222,F,confessioun / absolucioun
223,224,F,penaunce / pitaunce
225,226,M,yive / yshryve
227,228,M,avaunt / repentaunt
229,230,M,herte / smerte
231,232,M,preyeres / freres
233,234,F,knyves / wyves
235,236,M,note / rote
237,238,M,pris / flour-de-lys
239,240,M,champioun / toun
241,242,F,tappestere / beggestere
243,244,M,he / facultee
245,246,F,aqueyntaunce / avaunce
247,248,M,poraille / vitaille
249,250,M,arise / servyse
251,252,M,vertuous / hous
253,254,M,graunt / haunt
255,256,M,sho / principio
257,258,M,wente / rente
259,260,M,whelp / help
261,262,M,cloysterer / scoler
263,264,M,pope / semycope
265,266,M,presse / wantownesse
267,268,M,tonge / songe
269,270,M,aryght / nyght
271,272,M,huberd / berd
273,274,M,sat / hat
275,276,M,fetisly / solempnely
277,278,M,wynnyng / thyng
279,280,M,orewelle / selle
281,282,M,bisette / dette
283,284,F,governaunce / chevyssaunce
285,286,M,alle / calle
287,288,M,also / ygo
289,290,M,rake / undertake
291,292,F,sobrely / courtepy
293,294,M,benefice / office
295,296,M,heed / reed
297,298,M,philosophie / sautrie
299,300,M,philosophre / cofre
301,302,M,hente / spente
303,304,M,preye / scoleye
305,306,M,heede / neede
307,308,F,reverence / sentence
309,310,M,speche / teche
311,312,M,wys / parvys
313,314,F,excellence / reverence
315,316,M,wise / assise
317,318,E,commissioun / renoun
319,320,M,oon / noon
321,322,M,effect / infect
323,324,M,nas / was
325,326,M,alle / falle
327,328,M,thyng / writyng
329,330,M,rote / cote
331,332,M,smale / tale
333,334,M,compaignye / dayesye
335,336,M,sangwyn / wyn
337,338,M,wone / sone
339,340,M,delit / parfit
341,342,M,he / contree
343,344,M,oon / noon
345,346,M,hous / plentevous
347,348,M,drynke / thynke
349,350,M,yeer / soper
351,352,M,muwe / stuwe
353,354,M,were / geere
355,356,M,alway / day
357,358,M,sire / shire
359,360,M,silk / milk
361,362,M,contour / vavasour
363,364,M,carpenter / tapycer
365,366,M,lyveree / fraternitee
367,368,M,was / bras
369,370,M,weel / everydeel
371,372,M,burgeys / deys
373,374,M,kan / alderman
375,376,M,rente / assente
377,378,M,blame / madame
379,380,M,bifore / ybore
381,382,F,nones / marybones
383,384,M,galyngale / ale
385,386,M,frye / pye
387,388,M,me / he
389,390,M,beste / weste
391,392,M,dertemouthe / kouthe
393,394,M,knee / he
395,396,M,adoun / broun
397,398,M,felawe / ydrawe
399,400,M,sleep / keep
401,402,M,hond / lond
403,404,M,tydes / bisides
405,406,M,lodemenage / cartage
407,408,M,undertake / shake
409,410,M,were / fynystere
411,412,M,spayne / maudelayne
413,414,M,phisik / lik
415,416,M,surgerye / astronomye
417,418,M,deel / natureel
419,420,E,ascendent / pacient
421,422,M,maladye / drye
423,424,M,humour / praktisour
425,426,M,roote / boote
427,428,M,apothecaries / letuaries
429,430,M,wynne / bigynne
431,432,E,esculapius / rufus
433,434,E,galyen / avycen
435,436,M,constantyn / gilbertyn
437,438,M,he / superfluitee
439,440,F,digestible / bible
441,442,M,al / sendal
443,444,F,dispence / pestilence
445,446,M,cordial / special
447,448,M,bathe / scathe
449,450,M,haunt / gaunt
451,452,M,noon / goon
453,454,M,she / charitee
455,456,M,ground / pound
457,458,M,heed / reed
459,460,M,newe / hewe
