Line Start,Line End,Rhyme Type,Words
1,2,M,us / theseus
3,4,M,governour / conquerour
5,6,M,sonne / wonne
7,8,E,chivalrie / femenye
9,10,E,scithia / ypolita
11,12,M,contree / solempnytee
13,14,M,emelye / melodye
15,16,M,ryde / bisyde
17,18,M,heere / manere
19,20,M,femenye / chivalrye
21,22,F,nones / amazones
23,24,E,ypolita / scithia
25,26,M,weddynge / hoom-comynge
27,28,M,forbere / ere
29,30,M,plough / ynough
31,32,M,route / aboute
33,34,M,wynne / bigynne
35,36,M,mencioun / toun
37,38,M,pride / aside
39,40,M,weye / tweye
41,42,M,blake / make
43,44,M,lyvynge / waymentynge
45,46,F,stenten / henten
47,48,M,homcomynge / criynge
49,50,M,envye / crye
51,52,F,offended / amended
53,54,M,blak / spak
55,56,M,cheere / heere
57,58,M,yiven / lyven
59,60,F,honour / socour
61,62,F,distresse / gentillesse
63,64,M,falle / alle
65,66,M,queene / seene
67,68,M,wheel / weel
69,70,F,presence / clemence
71,72,M,fourtenyght / myght
73,74,M,thus / cappaneus
75,76,M,day / array
77,78,M,lamentacioun / toun
79,80,M,lay / weylaway
81,82,M,citee / iniquitee
83,84,M,tirannye / vileynye
85,86,F,yslawe / ydrawe
87,88,M,assent / ybrent
89,90,F,despit / respit
91,92,M,pitously / mercy
93,94,M,herte / sterte
95,96,M,speke / breke
97,98,M,maat / estaat
99,100,M,hente / entente
101,102,M,knyght / myght
103,104,M,wreke / speke
105,106,F,yserved / deserved
107,108,M,abood / rood
109,110,M,biside / ride
111,112,M,day / lay
113,114,M,queene / sheene
115,116,M,dwelle / telle
117,118,M,targe / large
119,120,M,doun / penoun
121,122,M,ybete / crete
123,124,M,conquerour / flour
125,126,M,alighte / fighte
127,128,M,thyng / kyng
129,130,M,knyght / flyght
131,132,F,after / rafter
133,134,M,agayn / slayn
135,136,M,gyse / devyse
137,138,F,waymentynge / brennynge
139,140,M,honour / conquerour
141,142,M,wente / entente
143,144,M,theseus / thus
145,146,M,reste / leste
147,148,M,dede / wede
149,150,M,cure / disconfiture
151,152,M,founde / wounde
153,154,M,by / richely
155,156,M,oon / palamon
157,158,M,were / gere
159,160,M,special / roial
161,162,M,yborn / torn
163,164,M,tente / sente
165,166,M,prisoun / raunsoun
167,168,M,ydon / anon
169,170,M,conquerour / honour
171,172,M,mo / wo
173,174,M,arcite / quite
175,176,M,day / may
177,178,M,sene / grene
179,180,M,newe / hewe
181,182,M,two / do
183,184,M,dight / a-nyght
185,186,M,herte / sterte
187,188,F,observaunce / remembraunce
189,190,M,ryse / devyse
191,192,M,tresse / gesse
193,194,M,upriste / liste
195,196,M,rede / hede
197,198,M,soong / stroong
199,200,E,dongeoun / prisoun
201,202,M,shal / wal
203,204,M,pleyynge / morwenynge
205,206,M,prisoner / gayler
207,208,M,heigh / seigh
209,210,M,grene / shene
211,212,M,doun / palamoun
213,214,M,fro / wo
215,216,M,allas / cas
217,218,M,barre / sparre
219,220,M,emelya / a
221,222,M,herte / sterte
223,224,M,thee / see
225,226,M,offence / pacience
227,228,M,be / adversitee
229,230,F,disposicioun / constellacioun
231,232,M,sworn / born
233,234,M,playn / agayn
235,236,F,opinioun / ymaginacioun
237,238,M,crye / ye
239,240,M,be / see
241,242,M,fro / wo
243,244,M,goddesse / gesse
245,246,M,fil / wil
247,248,M,transfigure / creature
249,250,F,scapen / shapen
251,252,E,prisoun / compassioun
253,254,M,tirannye / espye
255,256,M,fro / so
257,258,M,sore / moore
259,260,M,pitously / sodeynly
261,262,M,place / grace
263,264,M,weye / seye
265,266,M,herde / answerde
267,268,M,pley / fey
269,270,M,pleye / tweye
271,272,M,honour / traitour
273,274,M,brother / oother
275,276,M,peyne / tweyne
277,278,M,oother / brother
279,280,M,me / thee
281,282,M,certeyn / withseyn
283,284,M,doute / aboute
285,286,M,serve / sterve
287,288,M,so / wo
289,290,M,sworn / biforn
291,292,M,knyght / myght
293,294,M,seyn / ageyn
295,296,M,I / outrely
297,298,M,thow / now
299,300,M,goddesse / hoolynesse
301,302,M,creature / aventure
303,304,M,sworn / biforn
305,306,M,sawe / lawe
307,308,M,pan / man
309,310,F,decree / degree
311,312,M,heed / deed
313,314,M,wyf / lyf
315,316,M,I / verraily
317,318,M,prisoun / raunsoun
319,320,M,boon / noon
321,322,M,wrothe / bothe
323,324,M,brother / oother
325,326,M,shal / al
327,328,F,endure / aventure
329,330,M,tweye / seye
331,332,M,day / may
333,334,M,perotheus / theseus
335,336,M,lite / visite
337,338,M,do / so
339,340,M,agayn / sayn
341,342,M,telle / helle
343,344,M,write / arcite
345,346,M,yere / preyere
347,348,M,raunsoun / prisoun
349,350,M,al / shal
351,352,M,endite / arcite
353,354,M,yfounde / stounde
355,356,M,theseus / thus
357,358,M,heed / reed
359,360,M,spedde / wedde
361,362,M,arcite / smyte
363,364,M,pitously / prively
365,366,M,born / biforn
367,368,M,dwelle / helle
369,370,M,perotheus / theseus
371,372,M,everemo / wo
373,374,M,serve / deserve
375,376,M,me / he
377,378,M,aventure / dure
379,380,M,paradys / dys
381,382,M,absence / presence
383,384,F,able / chaungeable
385,386,F,atteyne / bareyne
387,388,M,dispeir / eir
389,390,M,is / this
391,392,M,distresse / gladnesse
393,394,F,commune / fortune
395,396,M,gyse / devyse
397,398,F,richesse / siknesse
399,400,M,fayn / slayn
401,402,M,mateere / heere
403,404,M,mous / hous
405,406,F,thider / slider
407,408,M,we / felicitee
409,410,M,trewely / I
411,412,E,opinioun / prisoun
413,414,M,heele / wele
415,416,F,emelye / remedye
417,418,F,palamon / agon
419,420,M,tour / clamour
421,422,M,grete / wete
423,424,M,myn / thyn
425,426,M,large / charge
427,428,M,manhede / kynrede
429,430,M,citee / tretee
431,432,M,wyf / lyf
433,434,M,possibilitee / free
435,436,M,avauntage / cage
437,438,M,lyve / yive
439,440,M,also / wo
441,442,M,sterte / herte
443,444,M,biholde / colde
445,446,M,governe / eterne
447,448,M,atthamaunt / graunt
449,450,M,holde / folde
451,452,M,beest / arreest
453,454,M,adversitee / pardee
455,456,M,prescience / innocence
457,458,F,penaunce / observaunce
459,460,M,wille / fulfille
461,462,M,peyne / pleyne
463,464,M,wo / so
465,466,M,dyvynys / ys
467,468,M,theef / mescheef
469,470,M,turne / saturne
471,472,M,wood / blood
473,474,M,wyde / syde
475,476,M,arcite / lite
477,478,M,dwelle / telle
479,480,M,longe / stronge
481,482,M,prisoner / mester
483,484,M,palamoun / prisoun
485,486,M,deed / heed
487,488,M,contree / see
489,490,E,questioun / palamoun
491,492,M,day / alway
493,494,M,go / mo
495,496,M,kan / bigan
497,498,M,pars / secunda
499,500,M,was / allas
501,502,M,mo / wo
503,504,M,creature / dure
505,506,M,biraft / shaft
507,508,M,biholde / colde
509,510,M,allone / mone
511,512,M,instrument / stent
513,514,M,lowe / knowe
515,516,M,herde / ferde
517,518,F,maladye / manye
519,520,M,malencolik / fantastik
521,522,M,doun / disposicioun
523,524,M,arcite / endite
525,526,M,two / wo
527,528,M,seyde / leyde
529,530,F,mercurie / murie
531,532,M,uprighte / brighte
533,534,M,keep / sleep
535,536,M,wende / ende
537,538,M,sterte / smerte
539,540,M,fare / spare
541,542,M,serve / sterve
543,544,M,mirour / colour
545,546,M,kynde / mynde
547,548,F,disfigured / endured
549,550,M,lowe / unknowe
551,552,M,day / array
553,554,M,laborer / squier
555,556,M,cas / was
557,558,M,way / day
559,560,F,servyse / devyse
561,562,M,seyn / chamberleyn
563,564,F,emelye / espye
565,566,M,here / bere
567,568,F,nones / bones
569,570,F,devyse / servyse
571,572,M,brighte / highte
573,574,M,he / degree
575,576,E,condicioun / renoun
577,578,M,charitee / degree
579,580,F,servyse / excercise
581,582,M,spronge / tonge
583,584,M,neer / squier
585,586,M,degree / contree
587,588,M,rente / spente
589,590,M,hadde / ladde
591,592,M,werre / derre
593,594,M,arcite / lite
595,596,M,prisoun / palamoun
597,598,M,distresse / hevynesse
599,600,M,so / wo
601,602,M,prisoner / yer
603,604,M,proprely / I
605,606,M,may / may
607,608,M,seyn / pleyn
609,610,M,destynee / be
611,612,M,palamoun / prisoun
613,614,M,go / so
615,616,M,wyn / fyn
617,618,M,shake / awake
619,620,M,may / day
621,622,M,hyde / bisyde
623,624,E,palamon / opinion
625,626,M,day / way
627,628,M,preye / werreye
629,630,M,lif / wyf
631,632,M,pleyn / ageyn
633,634,M,care / snare
635,636,M,day / gray
637,638,M,bright / light
639,640,F,greves / leves
641,642,M,roial / principal
643,644,M,day / may
645,646,M,desir / fir
647,648,M,pleye / tweye
649,650,M,tolde / holde
651,652,F,greves / leves
653,654,M,shene / grene
655,656,M,may / may
657,658,M,herte / sterte
659,660,M,doun / palamoun
661,662,M,se / he
663,664,M,arcite / lite
665,666,M,yeres / eres
667,668,F,evene / stevene
669,670,M,felawe / sawe
671,672,M,stille / fille
673,674,M,lustily / sodeynly
675,676,F,geres / breres
677,678,M,welle / telle
679,680,M,faste / overcaste
681,682,M,day / array
683,684,M,ylike / sike
685,686,M,moore / bore
687,688,M,crueltee / citee
689,690,F,confusioun / amphioun
691,692,M,man / bigan
693,694,M,kyng / ofspryng
695,696,M,roial / thral
697,698,F,enemy / povrely
699,700,M,shame / name
701,702,M,arcite / myte
703,704,M,juno / fordo
705,706,M,palamoun / prisoun
707,708,M,outrely / brennyngly
709,710,M,herte / sherte
711,712,M,emelye / dye
713,714,M,care / tare
715,716,F,plesaunce / traunce
717,718,M,sterte / herte
719,720,M,glyde / byde
721,722,M,tale / pale
723,724,M,thikke / wikke
725,726,M,so / wo
727,728,M,sworn / heerbiforn
729,730,M,theseus / thus
731,732,M,dye / emelye
733,734,M,namo / foo
735,736,M,place / grace
737,738,M,dye / emelye
739,740,M,asterte / herte
741,742,M,herd / swerd
743,744,M,above / love
745,746,M,place / pace
747,748,M,hond / bond
749,750,M,thee / free
751,752,M,myght / knyght
753,754,M,bataille / faille
755,756,M,wight / knyght
757,758,M,thee / me
759,760,M,brynge / beddynge
761,762,M,wynne / inne
763,764,M,me / thee
765,766,M,amorwe / borwe
767,768,M,charitee / thee
769,770,M,lordshipe / felaweshipe
771,772,M,palamoun / toun
773,774,M,light / dight
775,776,M,darreyne / tweyne
777,778,M,born / biforn
779,780,M,yset / met
781,782,M,face / trace
783,784,M,spere / bere
785,786,F,greves / leves
787,788,M,enemy / I
789,790,M,gappe / myshappe
791,792,M,hewe / knewe
793,794,E,saluyng / rehersyng
795,796,M,oother / brother
797,798,M,stronge / longe
799,800,M,palamon / leon
801,802,M,arcite / smyte
803,804,M,wood / blood
805,806,M,dwelle / telle
807,808,M,general / al
809,810,M,biforn / sworn
811,812,M,nay / day
813,814,M,yeer / heer
815,816,M,love / above
817,818,E,theseus / desirus
819,820,M,may / day
821,822,M,ryde / bisyde
823,824,F,delit / appetit
825,826,M,bane / dyane
827,828,M,this / blis
829,830,M,queene / grene
831,832,M,roially / by
833,834,M,tolde / holde
835,836,M,right / flight
837,838,M,weye / tweye
839,840,M,comaunde / launde
841,842,F,anon / palamon
843,844,M,two / fro
845,846,M,strook / ook
847,848,M,woot / smoot
849,850,M,two / hoo
851,852,M,heed / deed
853,854,M,seen / been
855,856,M,heere / officere
857,858,M,roially / hastily
859,860,M,mo / two
861,862,F,caytyves / lyves
863,864,M,juge / refuge
865,866,M,charitee / me
867,868,M,lite / arcite
869,870,M,heed / deed
871,872,M,gate / philostrate
873,874,M,yer / squier
875,876,M,emelye / dye
877,878,E,confessioun / palamoun
879,880,M,wikkedly / I
881,882,M,brighte / sighte
883,884,M,juwise / wise
885,886,M,slayn / agayn
887,888,F,conclusioun / confessioun
889,890,M,recorde / corde
891,892,M,rede / wommanhede
893,894,M,emelye / compaignye
895,896,M,alle / falle
