Line Start,Line End,Rhyme Type,Words
1,2,E,adoun / mencioun
3,4,E,bachlier / archer
5,6,M,lay / day
7,8,M,dede / rede
9,10,M,mynstralcie / melodie
11,12,M,soun / amphioun
13,14,M,citee / hee
15,16,M,man / bigan
17,18,M,discryve / on-lyve
19,20,M,gentillesse / worthynesse
21,22,M,bachilrie / chivalrie
23,24,F,victorie / storie
25,26,M,bowe / crowe
27,28,M,day / jay
29,30,M,swan / man
31,32,M,tale / nyghtygale
33,34,M,deel / weel
35,36,M,wyf / lyf
37,38,M,diligence / reverence
39,40,M,sayn / fayn
41,42,M,be / degree
43,44,M,noght / thought
45,46,M,certayn / vayn
47,48,M,bee / nycetee
49,50,F,wyves / lyves
51,52,M,bigan / kan
53,54,F,plesaunce / governaunce
55,56,M,grace / embrace
57,58,M,nature / creature
59,60,M,cage / corage
61,62,M,drynke / bithynke
63,64,M,may / gay
65,66,M,foold / coold
67,68,F,wrecchednesse / bisynesse
69,70,M,may / ay
71,72,M,milk / silk
73,74,M,wal / al
75,76,M,hous / mous
77,78,F,dominacioun / discrecioun
79,80,M,knyde / fynde
81,82,M,take / make
83,84,M,men / wommen
85,86,F,appetit / delit
87,88,M,faire / debonaire
89,90,F,meschaunce / plesaunce
91,92,M,while / gile
93,94,M,jolitee / shee
95,96,E,reputacioun / comparisoun
97,98,M,so / wo
99,100,M,absent / sent
101,102,M,speche / biseche
103,104,M,rede / dede
105,106,M,thyng / werkyng
107,108,M,I / trewely
109,110,M,degree / bee
111,112,M,this / amys
113,114,M,above / love
115,116,M,womman / lemman
117,118,M,brother / oother
119,120,M,tiraunt / erraunt
121,122,F,difference / sentence
123,124,M,myght / dounright
125,126,M,playn / capitayn
127,128,M,meynee / he
129,130,M,mescheef / theef
131,132,M,textueel / deel
133,134,M,bigan / lemman
135,136,M,volage / cage
137,138,M,word / lord
139,140,M,cokkow / dyngestow
141,142,M,synge / rejoysynge
143,144,M,this / amys
145,146,M,worthynesse / gentilesse
147,148,M,mynstralcye / ye
149,150,E,reputacioun / comparisoun
151,152,M,thryve / swyve
153,154,M,tolde / bolde
155,156,M,lecherye / vileynye
157,158,M,yen / wryen
159,160,M,atwo / flo
161,162,M,slayn / sayn
163,164,M,mynstralcie / sautrie
165,166,M,bowe / crowe
167,168,F,scorpioun / confusioun
169,170,M,deed / lustiheed
171,172,M,trewe / hewe
173,174,M,ywys / amys
175,176,F,recchelees / gilteles
177,178,F,suspecion / discrecion
179,180,F,rakelinesse / witnesse
181,182,M,why / sobrely
183,184,M,execucion / suspecion
185,186,M,ire / mire
187,188,M,slee / he
189,190,M,tale / nyghtyngale
191,192,M,forgon / everichon
193,194,M,speke / awreke
195,196,M,blake / make
197,198,M,rayn / slayn
199,200,M,anon / everychon
201,202,M,song / slong
203,204,M,bitake / blake
205,206,M,preye / seye
207,208,M,lyf / wyf
209,210,M,certeyn / seyn
211,212,M,weel / textueel
213,214,M,dame / name
215,216,M,freend / feend
217,218,M,blesse / goodnesse
219,220,M,eke / speeke
221,222,M,speche / teche
223,224,M,avysely / generally
225,226,M,restreyne / peyne
227,228,M,preyere / leere
229,230,M,tonge / yonge
231,232,M,avysed / suffised
233,234,M,taught / naught
235,236,F,serveth / forkerveth
237,238,M,so / a-two
239,240,F,abhomynable / honurable
241,242,M,senekke / bekke
243,244,M,heere / mateere
245,246,M,leste / reste
247,248,M,seyd / biwreyd
249,250,M,sayn / agayn
251,252,M,gooth / looth
253,254,M,sayd / apayd
255,256,M,newe / trewe
257,258,M,lowe / crowe
