Line Start,Line End,Rhyme Type,Words
1,2,M,ytoold / oold
3,4,F,storie / memorie
5,6,M,everichon / gon
7,8,M,male / tale
9,10,M,bigonne / konne
11,12,M,tale / pale
13,14,M,sat / hat
15,16,M,curteisie / crie
17,18,F,bones / nones
19,20,M,tale / ale
21,22,F,brother / another
23,24,M,thriftily / I
25,26,M,wey / wey
27,28,M,overcome / some
29,30,M,protestacioun / soun
31,32,M,seye / preye
33,34,M,lyf / wyf
35,36,M,cappe / clappe
37,38,F,harlotrye / folye
39,40,M,defame / fame
41,42,M,seyn / ageyn
43,44,F,osewold / cokewold
45,46,M,oon / oon
47,48,M,badde / madde
49,50,M,now / thow
51,52,M,plogh / ynogh
53,54,M,oon / noon
55,56,M,inquisityf / wyf
57,58,M,there / enquere
59,60,M,millere / forbere
61,62,M,manere / heere
63,64,M,preye / seye
65,66,M,reherce / werse
67,68,M,mateere / yheere
69,70,M,tale / smale
71,72,M,gentillesse / hoolynesse
73,74,M,amys / this
75,76,M,mo / two
77,78,M,blame / game
