Line Start,Line End,Rhyme Type,Words
1,2,M,oxenford / bord
3,4,M,carpenter / scoler
5,6,M,fantasye / astrologye
7,8,M,conclusiouns / interrogaciouns
9,10,F,houres / shoures
11,12,M,bifalle / alle
13,14,F,nicholas / solas
15,16,M,privee / see
17,18,M,hostelrye / compaignye
19,20,M,swoote / roote
21,22,M,cetewale / smale
23,24,M,art / apart
25,26,M,heed / reed
27,28,M,sautrie / melodie
29,30,M,rong / song
31,32,M,noote / throte
33,34,M,spente / rente
35,36,M,wyf / lyf
37,38,M,age / cage
39,40,M,old / cokewold
41,42,M,rude / simylitude
43,44,F,estaat / debaat
45,46,M,snare / care
47,48,M,therwithal / smal
49,50,M,silk / milk
51,52,M,goore / bifoore
53,54,M,aboute / withoute
55,56,M,voluper / coler
57,58,M,hye / ye
59,60,M,two / sloo
61,62,M,see / tree
63,64,F,wether / lether
65,66,M,latoun / doun
67,68,M,thenche / wenche
69,70,M,hewe / newe
71,72,M,yerne / berne
73,74,M,game / dame
75,76,M,meeth / heeth
77,78,M,colt / bolt
79,80,M,coler / bokeler
81,82,M,hye / piggesnye
83,84,M,bedde / wedde
85,86,M,cas / nicholas
87,88,M,pleye / oseneye
89,90,M,queynte / queynte
91,92,M,wille / spille
93,94,F,haunchebones / atones
95,96,M,save / trave
97,98,M,awey / fey
99,100,M,nicholas / allas
101,102,M,curteisye / crye
103,104,M,faste / laste
105,106,M,kent / comandement
107,108,M,espie / jalousie
109,110,M,privee / she
111,112,M,cas / nicholas
113,114,M,whyle / bigyle
115,116,M,ysworn / biforn
117,118,M,everideel / weel
119,120,M,sawtrie / melodie
121,122,M,chirche / wirche
123,124,M,haliday / day
125,126,M,werk / clerk
127,128,M,absolon / shoon
129,130,M,brode / shode
131,132,M,goos / shoos
133,134,M,fetisly / proprely
135,136,M,waget / set
137,138,M,surplys / rys
139,140,M,save / shave
141,142,F,acquitaunce / daunce
143,144,M,tho / fro
145,146,M,rubible / quynyble
147,148,M,giterne / taverne
149,150,M,solas / was
151,152,M,squaymous / daungerous
153,154,M,gay / haliday
155,156,M,faste / caste
157,158,M,wyf / lyf
159,160,M,likerous / mous
161,162,M,anon / absolon
163,164,F,love-longynge / offrynge
165,166,M,noon / shoon
167,168,M,ytake / wake
169,170,M,amorous / hous
171,172,F,ycrowe / shot-wyndowe
173,174,M,wal / smal
175,176,M,be / me
177,178,M,gyternynge / synge
179,180,M,anon / absolon
181,182,M,wal / therwithal
183,184,M,deel / weel
185,186,M,absolon / bigon
187,188,M,day / gay
189,190,M,brocage / page
191,192,M,nyghtyngale / ale
193,194,M,gleede / meede
195,196,F,richesse / gentillesse
197,198,M,maistrye / hye
199,200,M,cas / nicholas
201,202,M,horn / scorn
203,204,M,ape / jape
205,206,M,lye / slye
207,208,M,looth / wrooth
209,210,M,sight / light
211,212,M,nicholas / allas
213,214,F,saterday / osenay
215,216,E,alisoun / conclusioun
217,218,M,wyle / bigyle
219,220,M,aright / nyght
221,222,M,also / mo
223,224,F,tarie / carie
225,226,M,tweye / seye
227,228,M,nicholas / was
229,230,M,ye / maladye
231,232,M,calle / falle
233,234,M,saterday / lay
235,236,M,leste / reste
237,238,M,merveyle / eyle
239,240,F,thomas / nicholas
241,242,M,sodeynly / sikerly
243,244,M,chirche / wirche
245,246,M,anoon / stoon
247,248,M,boldely / sturdily
249,250,M,stood / wood
251,252,M,nicholay / day
253,254,M,word / bord
255,256,M,crepe / depe
257,258,M,sight / upright
259,260,M,moone / soone
261,262,M,man / bigan
263,264,M,frydeswyde / bityde
265,266,F,astromye / agonye
267,268,M,be / pryvetee
269,270,M,man / kan
271,272,M,astromye / prye
273,274,M,bifalle / yfalle
275,276,F,thomas / nicholas
277,278,M,studiyng / kyng
279,280,M,underspore / dore
281,282,M,gesse / dresse
283,284,F,nones / atones
285,286,M,anon / stoon
287,288,M,eir / despeir
289,290,M,myghtily / spitously
291,292,E,adoun / passioun
293,294,F,wightes / anon-rightes
295,296,M,aboute / withoute
297,298,M,benedight / wight
299,300,F,pater-noster / soster
301,302,M,nicholas / allas
303,304,M,now / seystow
305,306,M,swynke / drynke
307,308,M,pryvetee / thee
309,310,M,certeyn / ageyn
311,312,M,quart / part
313,314,M,shette / sette
315,316,M,deere / heere
317,318,M,wreye / seye
319,320,M,forlore / therfore
321,322,M,wood / blood
323,324,M,labbe / gabbe
325,326,M,telle / helle
327,328,M,lye / astrologye
329,330,M,bright / nyght
331,332,M,wood / flood
333,334,M,hour / shour
335,336,M,lyf / wyf
337,338,M,alisoun / adoun
339,340,M,cas / nicholas
341,342,M,reed / heed
343,344,M,trewe / rewe
345,346,M,conseil / seyl
347,348,M,me / noe
349,350,M,biforn / lorn
351,352,F,ago / also
353,354,M,felaweshipe / shipe
355,356,M,undertake / blake
357,358,M,allone / doone
359,360,M,thyng / tariyng
361,362,M,in / kymelyn
363,364,M,large / barge
365,366,M,suffisant / remenant
367,368,M,away / day
369,370,M,knave / save
371,372,M,me / pryvetee
373,374,M,madde / hadde
375,376,M,doute / heer-aboute
377,378,M,me / thre
379,380,M,hye / spye
381,382,M,seyd / yleyd
383,384,M,atwo / go
385,386,F,gable / stable
387,388,M,way / away
389,390,M,undertake / drake
391,392,M,john / anon
393,394,M,nicholay / day
395,396,M,lyf / wyf
397,398,M,right / nyght
399,400,M,bord / word
401,402,M,preyere / deere
403,404,M,atwynne / synne
405,406,M,deede / speede
407,408,M,aslepe / crepe
409,410,M,grace / space
411,412,M,sermonyng / thyng
413,414,M,teche / biseche
415,416,M,wey / weylawey
417,418,M,pryvetee / he
419,420,M,seye / deye
421,422,M,anon / echon
423,424,M,wyf / lyf
425,426,F,affeccioun / ymaginacioun
427,428,M,take / quake
429,430,M,see / see
431,432,M,deere / cheere
433,434,M,swogh / trogh
435,436,M,kymelyn / in
437,438,M,pryvetee / thre
439,440,F,stalkes / balkes
441,442,M,tubbe / jubbe
443,444,M,day / array
445,446,M,also / go
447,448,M,nyght / candel-lyght
449,450,M,be / thre
