Line Start,Line End,Rhyme Type,Words
1,2,E,tragedie / degree
3,4,E,remedie / adversitee
5,6,M,flee / withholde
7,8,E,prosperitee / olde
9,10,M,were / bigynne
11,12,M,dere / synne
13,14,M,inne / alle
15,16,M,twynne / falle
17,18,M,damyssene / he
19,20,M,unclene / tree
21,22,E,degree / mysgovernaunce
23,24,E,prosperitee / meschaunce
25,26,E,annunciat / nativitee
27,28,M,consecrat / see
29,30,M,hee / hardynesse
31,32,E,secree / wrecchednesse
33,34,M,champioun / tweye
35,36,M,leoun / weye
37,38,M,preye / untrewe
39,40,E,biwreye / newe
41,42,M,ire / bond
43,44,M,fire / brond
45,46,M,lond / eke
47,48,M,hond / cheke
49,50,M,he / preye
51,52,M,pitee / deye
53,54,M,dreye / welle
55,56,M,seye / telle
57,58,M,nyght / citee
59,60,M,plyght / hee
61,62,M,see / deere
63,64,E,secree / peere
65,66,M,wyn / sheere
67,68,E,divyn / weere
69,70,M,yeere / governaunce
71,72,M,teere / meschaunce
73,74,M,tolde / lay
75,76,M,solde / day
77,78,E,away / espyen
79,80,M,array / yen
81,82,M,yshave / bynde
83,84,M,cave / grynde
85,86,M,mankynde / richesse
87,88,M,blynde / wrecchednesse
89,90,M,seye / day
91,92,M,pleye / array
93,94,E,affray / falle
95,96,M,lay / alle
97,98,M,everichoon / slayn
99,100,M,stoon / sayn
101,102,M,playn / wyves
103,104,M,fayn / lyves
105,106,M,conquerour / renoun
107,108,M,flour / leoun
109,110,E,adoun / felle
111,112,E,dragoun / helle
113,114,M,busirus / boon
115,116,M,venymus / oon
117,118,M,stoon / stronge
119,120,E,anon / longe
121,122,M,bigan / he
123,124,M,ran / bountee
125,126,M,see / lette
127,128,E,trophee / sette
129,130,M,champioun / may
131,132,M,mencioun / gay
133,134,E,weylaway / withalle
135,136,M,day / falle
137,138,M,excusen / maked
139,140,M,accusen / naked
141,142,E,blaked / remedye
143,144,M,raked / dye
145,146,M,hercules / throwe
147,148,M,prees / lowe
149,150,M,knowe / glose
151,152,M,overthrowe / suppose
153,154,E,tresor / magestee
155,156,M,nabugodonosor / bee
157,158,E,citee / ladde
159,160,M,see / hadde
161,162,M,roial / anoon
163,164,M,thral / oon
165,166,E,everychon / expowned
167,168,M,noon / sowned
169,170,M,gold / brede
171,172,M,oold / drede
173,174,E,rede / obeye
175,176,M,dede / tweye
177,178,E,elaat / magestee
179,180,E,estaat / dignytee
181,182,M,bee / theroute
183,184,M,hee / aboute
185,186,M,heres / weere
187,188,M,yeres / teere
189,190,M,feere / trespace
191,192,M,beere / grace
193,194,M,balthasar / day
195,196,M,war / array
197,198,M,ay / pryde
199,200,M,lay / divide
201,202,M,alle / bee
203,204,M,calle / he
205,206,E,prosperitee / birafte
207,208,M,we / lafte
209,210,M,concubynes / laste
211,212,M,wynes / caste
213,214,M,faste / soore
215,216,F,agaste / namoore
217,218,M,noon / mente
219,220,E,anoon / lente
221,222,M,rente / dradde
223,224,M,sente / hadde
225,226,E,compaignye / habitacioun
227,228,M,drye / resoun
229,230,E,domynacioun / creature
231,232,E,compassioun / figure
233,234,E,also / verraily
235,236,M,foo / boldely
237,238,M,synfully / wynys
239,240,M,cursedly / ys
241,242,M,wal / me
243,244,M,al / be
245,246,M,he / slawe
247,248,E,degree / lawe
249,250,M,take / sikernesse
251,252,M,forsake / richesse
253,254,M,lesse / fortune
255,256,M,gesse / commune
257,258,M,queene / noblesse
259,260,M,keene / hardynesse
261,262,M,gentillesse / descended
263,264,M,fairnesse / amended
265,266,M,fledde / wente
267,268,M,shedde / sente
269,270,M,hente / wolde
271,272,M,torente / wille
273,274,M,seke / nyght
275,276,M,eke / myght
277,278,M,wight / stonde
279,280,M,wight / bonde
281,282,E,maried / contree
283,284,M,taried / he
285,286,M,she / in-feere
287,288,E,felicitee / deere
289,290,M,assente / lye
291,292,E,entente / multiplye
293,294,E,espye / dede
295,296,E,fantasye / drede
297,298,M,cast / game
299,300,M,past / same
301,302,M,tame / seyde
303,304,M,shame / pleyde
305,306,M,she / lettrure
307,308,M,we / creature
309,310,M,mesure / eke
311,312,M,endure / seke
313,314,M,told / clothyng
315,316,M,gold / huntyng
317,318,E,knowyng / entende
319,320,E,likyng / dispende
321,322,M,trete / she
323,324,E,grete / citee
325,326,E,magestee / faste
327,328,M,flee / laste
329,330,M,rede / mo
331,332,E,dede / therto
333,334,M,wo / ytake
