Line Start,Line End,Rhyme Type,Words
1,2,M,age / cotage
3,4,M,dale / tale
5,6,M,wyf / lyf
7,8,M,rente / sente
9,10,M,two / namo
11,12,M,malle / halle
13,14,M,meel / deel
15,16,M,throte / cote
17,18,M,sik / phisik
19,20,F,suffisaunce / daunce
21,22,M,heed / reed
23,24,M,blak / lak
25,26,M,tweye / deye
27,28,M,aboute / withoute
29,30,M,chauntecleer / peer
31,32,M,orgon / gon
33,34,M,logge / orlogge
35,36,M,ascencioun / toun
37,38,F,ascended / amended
39,40,M,coral / wal
41,42,M,shoon / toon
43,44,M,flour / colour
45,46,F,governaunce / plesaunce
47,48,M,paramours / colours
49,50,M,throte / pertelote
51,52,M,debonaire / faire
53,54,M,oold / hoold
55,56,M,lith / therwith
57,58,M,synge / sprynge
59,60,M,londe / understonde
61,62,M,synge / dawenynge
63,64,M,alle / halle
65,66,M,pertelote / throte
67,68,M,soore / roore
69,70,M,deere / manere
71,72,M,shame / madame
73,74,M,agrief / meschief
75,76,F,afright / aright
77,78,M,prisoun / doun
79,80,M,beest / areest
81,82,M,deed / reed
83,84,F,eeris / heeris
85,86,M,tweye / deye
87,88,F,doutelees / hertelees
89,90,M,above / love
91,92,M,feith / seith
93,94,M,bee / free
95,96,M,fool / tool
97,98,M,above / love
99,100,M,aferd / berd
101,102,M,swevenys / is
103,104,F,replecciouns / complecciouns
105,106,M,wight / to-nyght
107,108,M,superfluytee / pardee
109,110,F,dremes / lemes
111,112,M,byte / lyte
113,114,M,malencolie / crie
115,116,M,blake / take
117,118,M,also / wo
119,120,M,kan / man
121,122,F,dremes / bemes
123,124,M,laxatyf / lyf
125,126,M,lye / malencolye
127,128,F,tarie / apothecarie
129,130,M,yow / prow
131,132,M,fynde / kynde
133,134,M,above / love
135,136,F,compleccioun / ascencioun
137,138,M,hoote / grote
139,140,M,tercaine / bane
141,142,F,digestyves / laxatyves
143,144,M,fumetere / there
145,146,M,beryis / is
147,148,M,yn / kyn
149,150,M,namoore / loore
151,152,M,catoun / renoun
153,154,M,drede / rede
155,156,M,auctorite / thee
157,158,F,sentence / experience
159,160,F,significaciouns / tribulaciouns
161,162,M,present / argument
163,164,M,dede / rede
165,166,M,wente / entente
167,168,M,toun / congregacioun
169,170,M,herbergage / cotage
171,172,M,bee / necessitee
173,174,M,compaignye / hostelrye
175,176,M,falle / stalle
177,178,M,plough / ynough
179,180,F,fortune / commune
181,182,M,day / lay
183,184,M,calle / stalle
185,186,M,lye / dye
187,188,M,sayde / abrayde
189,190,M,sleep / keep
191,192,M,vanitte / hee
193,194,M,felawe / slawe
195,196,M,wyde / tyde
197,198,M,he / se
199,200,F,prively / boldely
201,202,M,sayn / slayn
203,204,M,hewe / trewe
205,206,M,day / way
207,208,M,stalle / calle
209,210,F,anon / agon
211,212,M,toun / suspecioun
213,214,M,mette / lette
215,216,M,fond / lond
217,218,M,wise / devyse
219,220,M,crye / felonye
221,222,M,nyght / upright
223,224,M,he / citee
225,226,M,slayn / sayn
227,228,M,grounde / founde
229,230,M,newe / trewe
231,232,M,alway / day
233,234,F,abhomynable / resonable
235,236,M,be / thre
237,238,M,conclusioun / toun
239,240,F,pyned / engyned
241,242,M,anon / bon
243,244,M,drede / rede
245,246,M,this / blis
247,248,M,see / contree
249,250,F,contrarie / tarie
251,252,F,haven-syde / even-tyde
253,254,M,leste / reste
255,256,M,saille / mervaille
257,258,M,lay / day
259,260,M,syde / abyde
261,262,M,wende / ende
263,264,M,mette / lette
265,266,M,byde / syde
267,268,M,faste / agaste
269,270,F,thynges / dremynges
271,272,F,japes / apes
273,274,M,therwithal / shal
275,276,M,abyde / tyde
277,278,M,day / way
279,280,F,yseyled / eyled
281,282,M,rente / wente
283,284,M,bisyde / tyde
285,286,M,deere / leere
287,288,F,recchelees / doutelees
289,290,M,drede / rede
291,292,M,kyng / thyng
293,294,M,day / say
295,296,M,deel / weel
297,298,M,oold / toold
299,300,M,herte / sherte
301,302,M,I / trewely
303,304,F,avisioun / cipioun
305,306,M,been / seen
307,308,M,wel / daniel
309,310,M,vanitee / see
311,312,M,alle / falle
