Line Start,Line End,Rhyme Type,Words
1,2,M,compaignye / folye
3,4,F,tavernes / gyternes
5,6,M,nyght / myght
7,8,M,sacrifise / wise
9,10,F,abhomynable / dampnable
11,12,M,swere / totere
13,14,M,ynough / lough
15,16,F,tombesteres / frutesteres
17,18,F,wafereres / officeres
19,20,M,lecherye / glotonye
21,22,F,witnesse / dronkenesse
23,24,M,unkyndely / unwityngly
25,26,M,wroughte / soghte
27,28,M,feeste / heeste
29,30,F,giltelees / doutelees
31,32,M,fynde / mynde
33,34,M,dronkelewe / shrewe
35,36,F,dronkenesse / cursednesse
37,38,F,confusioun / dampnacioun
39,40,M,agayn / sayn
41,42,M,vileynye / glotonye
43,44,M,also / wo
45,46,M,drede / rede
47,48,M,he / tree
49,50,M,peyne / pleyne
51,52,M,maladyes / glotonyes
53,54,F,mesurable / table
55,56,M,mouth / south
57,58,M,swynke / drynke
59,60,M,trete / mete
61,62,M,seith / feith
63,64,M,dede / rede
65,66,M,pryvee / superfluitee
67,68,M,pitously / I
69,70,M,voys / croys
71,72,M,god / cod
73,74,M,corrupcioun / soun
75,76,M,fynde / grynde
77,78,M,accident / talent
79,80,M,they / awey
81,82,M,swoote / roote
83,84,F,delit / appetit
85,86,F,delices / vices
87,88,F,dronkenesse / wrecchednesse
89,90,M,face / embrace
91,92,M,soun / sampsoun
93,94,M,wyn / swyn
95,96,M,cure / sepulture
97,98,F,discrecioun / dominacioun
99,100,M,drede / rede
101,102,M,lepe / chepe
103,104,M,subtilly / by
105,106,M,fumositee / thre
107,108,M,chepe / lepe
109,110,M,toun / sampsoun
111,112,M,preye / seye
113,114,M,testament / omnipotent
115,116,M,preyere / leere
117,118,M,conquerour / dishonour
119,120,F,dronkenesse / sobrenesse
121,122,M,wel / lamuel
123,124,M,I / expresly
125,126,F,justise / suffise
127,128,M,glotonye / hasardrye
129,130,F,lesynges / forswerynges
131,132,M,also / forthermo
133,134,M,honour / hasardour
135,136,M,estaat / desolaat
137,138,M,hasardrye / policye
139,140,F,opinioun / reputacioun
141,142,M,embassadour / honour
143,144,F,alliaunce / chaunce
145,146,M,lond / fond
147,148,M,be / contree
149,150,M,name / defame
151,152,F,hasardours / embassadours
153,154,M,dye / allye
155,156,M,honours / hasadours
157,158,M,tretee / hee
