Line Start,Line End,Rhyme Type,Words
1,2,M,preche / speche
3,4,M,belle / telle
5,6,M,was / cupiditas
7,8,M,come / some
9,10,F,patente / warente
11,12,M,clerk / werk
13,14,F,tales / cardynales
15,16,M,shewe / fewe
17,18,F,predicacioun / devocioun
19,20,F,stones / bones
21,22,F,echoon / sholder-boon
23,24,M,sheep / keep
25,26,M,welle / swelle
27,28,M,ystonge / tonge
29,30,M,forthermoore / soore
31,32,M,welle / telle
33,34,F,oweth / croweth
35,36,M,draughte / taughte
37,38,M,multiplie / jalousie
39,40,M,rage / potage
41,42,M,mystriste / wiste
43,44,M,thre / se
45,46,M,mitayn / grayn
47,48,F,otes / grotes
49,50,M,yow / now
51,52,M,he / be
53,54,M,old / cokewold
55,56,M,grace / place
57,58,M,blame / name
59,60,M,auctoritee / me
61,62,M,yeer / pardoner
63,64,M,pulpet / yset
65,66,M,bifoore / moore
67,68,M,nekke / bekke
69,70,M,berne / yerne
71,72,F,bisynesse / cursednesse
73,74,M,free / me
75,76,M,wynne / synne
77,78,F,beryed / a-blakeberyed
79,80,F,predicacioun / entencioun
81,82,M,flaterye / ypocrisye
83,84,M,hate / debate
85,86,M,smerte / asterte
87,88,M,he / me
89,90,M,name / same
91,92,F,circumstances / displesances
93,94,M,hewe / trewe
95,96,M,devyse / coveityse
97,98,M,was / cupiditas
99,100,M,vice / avarice
101,102,M,synne / twynne
103,104,F,repente / entente
105,106,M,coveitise / suffise
107,108,M,oon / agoon
109,110,M,olde / holde
111,112,M,preche / teche
113,114,M,wilfully / trewwly
115,116,F,landes / handes
117,118,F,therby / ydelly
119,120,M,countrefete / whete
121,122,M,page / village
123,124,M,famyne / vyne
125,126,M,toun / conclusioun
127,128,M,tale / ale
129,130,M,thyng / likyng
131,132,M,man / kan
