Line Start,Line End,Rhyme Type,Words
1,2,F,ended / descended
3,4,M,sighte / highte
5,6,M,gesse / lesse
7,8,M,there / were
9,10,F,proporcioun / exaltacioun
11,12,M,ascende / ende
13,14,M,gye / compaignye
15,16,M,everichoon / oon
17,18,F,decree / degree
19,20,F,ordinaunce / chaunce
21,22,M,lustily / vicary
23,24,M,fey / pley
25,26,M,tale / male
27,28,M,cheere / mateere
29,30,F,bones / atones
31,32,M,me / thymothee
33,34,F,soothfastnesse / wrecchednesse
35,36,M,fest / lest
37,38,M,heere / mateere
39,40,M,audience / reverence
41,42,M,kan / man
43,44,M,lettre / bettre
45,46,M,glose / prose
47,48,M,ende / sende
49,50,M,viage / pilgrymage
51,52,M,celestial / shal
53,54,M,preye / seye
55,56,F,meditacioun / correccioun
57,58,M,textueel / weel
59,60,F,protestacioun / correccioun
61,62,M,soone / doone
63,64,M,sentence / audience
65,66,M,seye / preye
67,68,M,alle / bifalle
69,70,E,meditacioun / adoun
71,72,M,space / grace
73,74,M,heere / manere
