Line Start,Line End,Rhyme Type,Words
1,2,M,cas / nicholas
3,4,M,seyde / pleyde
5,6,M,greve / reve
7,8,M,craft / ylaft
9,10,M,lite / quite
11,12,M,ye / ribaudye
13,14,M,age / forage
15,16,M,yeris / heris
17,18,M,open-ers / wers
19,20,M,stree / we
21,22,M,rype / pype
23,24,M,nayl / tayl
25,26,M,goon / oon
27,28,M,speke / yreke
29,30,M,devyse / coveitise
31,32,M,eelde / unweelde
33,34,M,sooth / tooth
35,36,M,henne / renne
37,38,M,anon / gon
39,40,M,yronne / tonne
41,42,M,chymbe / chymbe
43,44,M,yoore / namoore
45,46,M,sermonyng / kyng
47,48,M,wit / writ
49,50,M,preche / leche
51,52,M,tyme / pryme
53,54,M,inne / bigynne
55,56,M,reve / greve
57,58,M,howve / of-showve
59,60,M,heer / carpenteer
61,62,M,oon / anoon
63,64,M,speke / to-breke
65,66,M,stalke / balke
