Line Start,Line End,Rhyme Type,Words
1,2,M,cantebrigge / brigge
3,4,M,melle / telle
5,6,M,day / gay
7,8,M,beete / sheete
9,10,M,panade / blade
11,12,M,pouche / touche
13,14,M,hose / nose
15,16,M,skulle / fulle
17,18,M,legge / abegge
19,20,M,mele / stele
21,22,M,symkyn / kyn
23,24,M,was / bras
25,26,M,allye / nonnerye
27,28,M,sayde / mayde
29,30,M,yomanrye / pye
31,32,M,two / go
33,34,M,heed / reed
35,36,M,same / dame
37,38,M,weye / pleye
39,40,M,symkyn / boidekyn
41,42,M,everemo / so
43,44,M,smoterlich / dich
45,46,M,bisemare / spare
47,48,F,nortelrie / nonnerie
49,50,M,two / mo
51,52,M,age / page
53,54,M,was / glas
55,56,M,hye / lye
57,58,M,feir / heir
59,60,M,mesuage / mariage
61,62,M,hye / auncetrye
63,64,F,despended / descended
65,66,M,honoure / devoure
67,68,M,doute / aboute
69,70,M,collegge / cantebregge
71,72,M,ygrounde / stounde
73,74,M,maladye / dye
75,76,M,corn / biforn
77,78,M,curteisly / outrageously
79,80,M,fare / tare
81,82,M,so / two
83,84,M,seye / pleye
85,86,M,revelrye / crye
87,88,M,stounde / ygrounde
89,90,M,nekke / pekke
91,92,M,reve / leve
93,94,M,oother / strother
95,96,M,where / gere
97,98,M,anon / john
99,100,M,syde / gyde
101,102,M,layth / y-fayth
103,104,M,wyf / lyf
105,106,M,heer / peer
107,108,M,swayn / sayn
109,110,M,deed / heed
111,112,F,alayn / agayn
113,114,M,may / fay
115,116,M,hande / stande
117,118,M,in / kyn
119,120,M,fra / swa
121,122,M,croun / doun
123,124,M,disport / sort
125,126,M,ye / nycetee
127,128,M,wyle / bigyle
129,130,M,ye / philosophye
131,132,M,make / take
133,134,M,bren / men
135,136,M,mare / tare
137,138,F,pryvely / softely
139,140,M,founde / ybounde
141,142,M,levesel / wel
143,144,M,anon / gon
145,146,M,renne / thenne
147,148,M,seyde / pleyde
149,150,F,ygrounde / ybounde
151,152,F,away / weylaway
153,154,F,banes / atanes
155,156,M,lorn / corn
157,158,M,housbondrie / crie
159,160,M,ren / fen
161,162,M,go / so
163,164,M,reyne / peyne
165,166,M,alswa / raa
167,168,M,bathe / lathe
169,170,M,fonne / yronne
171,172,M,john / gon
173,174,M,take / cake
175,176,M,aferd / berd
177,178,M,weye / pleye
179,180,M,croun / doun
181,182,M,warderere / heere
183,184,M,nyght / myght
185,186,M,faste / laste
187,188,M,reyn / aleyn
189,190,M,born / scorn
191,192,M,calle / alle
193,194,M,weylaway / way
195,196,M,hond / fond
197,198,M,noght / bisoght
199,200,F,peny / eny
201,202,M,part / art
203,204,M,place / space
205,206,M,suffise / gise
207,208,M,cutberd / answerd
209,210,F,thynges / brynges
211,212,M,deere / cheere
213,214,M,fulle / tulle
215,216,M,spende / sende
217,218,M,goos / loos
219,220,M,bed / yspred
221,222,M,twelve / hirselve
223,224,M,by / why
225,226,M,place / solace
227,228,M,beste / reste
229,230,M,heed / reed
231,232,M,nose / pose
233,234,M,wyf / jolyf
235,236,M,ywet / set
237,238,M,sowke / crowke
239,240,M,anon / john
241,242,M,dwale / ale
243,244,M,sleep / keep
245,246,M,strong / furlong
247,248,M,compaignye / melodye
249,250,M,slepestow / now
251,252,M,alle / falle
253,254,M,thyng / endyng
255,256,M,reste / beste
257,258,M,thryve / swyve
259,260,M,us / thus
261,262,F,agreved / releved
263,264,M,nay / day
265,266,F,amendement / esement
267,268,M,bee / thee
269,270,M,seyde / abreyde
271,272,M,vileynye / flye
273,274,M,crepte / slepte
275,276,M,espie / crie
277,278,M,aton / john
279,280,M,two / wo
281,282,M,jape / ape
283,284,M,harm / arm
285,286,M,sped / bed
287,288,M,day / cokenay
289,290,M,fayth / sayth
291,292,M,wente / hente
293,294,M,feet / leet
295,296,M,pisse / mysse
297,298,M,noon / mysgoon
299,300,M,bed / ysped
301,302,M,fond / hond
303,304,M,good / stood
305,306,M,derk / clerk
307,308,M,sleep / leep
309,310,M,soore / yoore
311,312,M,mad / lad
313,314,M,synge / dawenynge
315,316,M,nyght / wight
317,318,M,byde / ryde
319,320,M,seel / weel
321,322,M,telle / melle
323,324,M,bihynde / fynde
325,326,M,mele / stele
327,328,M,kepe / wepe
329,330,M,dawe / felawe
331,332,M,anon / mysgon
333,334,E,to-nyght / aright
335,336,M,mysgo / also
337,338,M,way / lay
339,340,M,john / anon
341,342,M,spak / awak
343,344,M,game / jame
345,346,M,nyght / upright
347,348,M,agast / hast
349,350,M,he / dignitee
351,352,M,disparage / lynage
353,354,F,alayn / agayn
355,356,M,fest / brest
357,358,M,tobroke / poke
359,360,M,anon / stoon
361,362,M,wyf / stryf
363,364,M,wight / nyght
365,366,M,breyde / seyde
367,368,M,calle / falle
369,370,M,deed / heed
371,372,M,fighte / myghte
373,374,M,fro / also
375,376,M,john / anon
377,378,M,light / bright
379,380,M,two / who
381,382,M,ye / espye
383,384,M,volupeer / neer
385,386,M,fulle / skulle
387,388,M,dye / lye
389,390,M,anon / gon
391,392,M,cake / ybake
393,394,M,ybete / whete
395,396,M,everideel / weel
397,398,M,als / fals
399,400,M,sooth / dooth
401,402,M,be / magestee
403,404,M,smale / tale
