Line Start,Line End,Rhyme Type,Words
1,2,M,stood / wood
3,4,M,ire / desire
5,6,M,curteisye / lye
7,8,M,telle / helle
9,10,F,wonder / asonder
11,12,M,telle / helle
13,14,M,visioun / doun
15,16,M,were / frere
17,18,M,wo / tho
19,20,M,grace / place
21,22,M,millioun / doun
23,24,M,tayl / sayl
25,26,M,he / se
27,28,M,place / space
29,30,M,hyve / dryve
31,32,M,route / aboute
33,34,M,gon / everychon
35,36,M,stille / fille
37,38,M,place / grace
39,40,M,awook / quook
41,42,M,mynde / kynde
43,44,M,frere / manere
