Line Start,Line End,Rhyme Type,Words
1,2,M,gesse / holdernesse
3,4,M,aboute / doute
5,6,M,frere / manere
7,8,M,thyng / prechyng
9,10,M,sake / make
11,12,F,honoured / devoured
13,14,M,yive / lyve
15,16,F,habundaunce / penaunce
17,18,M,yonge / ysonge
19,20,M,gay / day
21,22,F,soules / oules
23,24,M,bake / sake
25,26,M,entente / wente
27,28,M,leste / reste
29,30,M,hye / prye
31,32,M,corn / horn
33,34,M,yvory / fetisly
35,36,M,stood / good
37,38,M,preye / reye
39,40,M,chese / cheese
41,42,F,peny / eny
43,44,M,dame / name
45,46,M,fynde / bihynde
47,48,M,sak / bak
49,50,M,anon / everichon
51,52,F,tables / fables
53,54,M,frere / deere
55,56,M,al / shal
57,58,M,he / be
59,60,M,placis / is
61,62,M,lay / day
63,64,M,softe / ofte
65,66,M,weel / meel
67,68,M,cat / hat
69,70,M,adoun / toun
71,72,M,hostelrye / lye
73,74,M,man / bigan
75,76,M,moore / soore
77,78,E,savacion / orison
79,80,M,blesse / messe
81,82,M,wit / writ
83,84,M,suppose / glose
85,86,M,certeyn / seyn
87,88,F,charitable / resonable
89,90,M,she / be
91,92,M,anon / john
93,94,M,hertely / curteisly
95,96,M,narwe / sparwe
97,98,M,weel / deel
99,100,M,lyf / wyf
101,102,M,me / she
103,104,M,fey / alwey
105,106,M,leve / greve
107,108,M,throwe / slowe
109,110,M,conscience / diligence
111,112,F,poules / soules
113,114,M,rente / entente
115,116,M,she / trinitee
117,118,F,pissemyre / desire
119,120,M,warm / arm
121,122,M,sty / I
123,124,M,cas / thomas
125,126,F,amended / defended
127,128,M,two / go
129,130,M,theraboute / doute
131,132,F,lyvere / shyvere
133,134,M,heed / deed
135,136,F,suffisaunce / sustenaunce
137,138,M,bible / penyble
139,140,F,destroyed / anoyed
141,142,M,shewe / fewe
143,144,M,go / two
145,146,M,toun / revelacioun
147,148,M,dortour / hour
149,150,M,blisse / wisse
151,152,M,fermerer / yeer
153,154,M,loone / allone
155,156,M,eke / cheke
157,158,F,belles / elles
159,160,E,orison / revelacion
161,162,M,weel / effectueel
163,164,F,thynges / kynges
165,166,M,abstinence / despence
167,168,F,delit / despit
169,170,F,diversly / therby
171,172,M,clene / lene
173,174,M,foode / goode
175,176,M,freres / preyeres
177,178,M,nyght / myght
179,180,M,synay / day
181,182,F,writen / witen
183,184,M,speche / leche
185,186,F,contemplaunce / governaunce
187,188,M,everichon / gon
189,190,M,servyse / wyse
191,192,M,make / wake
193,194,M,seye / preye
195,196,M,suffiseth / devyseth
197,198,M,preyeres / freres
199,200,F,continence / abstinence
201,202,F,rightwisnesse / clennesse
203,204,M,preyeres / freres
205,206,F,acceptable / table
207,208,M,lye / glotonye
209,210,M,certeyn / seyn
211,212,M,suppose / glose
213,214,M,jhesus / thus
215,216,M,been / seen
217,218,F,professioun / possessioun
219,220,M,glotonye / diffye
221,222,M,jovinyan / swan
223,224,M,spence / reverence
225,226,F,davit / eructavit
227,228,M,foore / poore
229,230,M,auditours / sours
231,232,M,prayeres / freres
233,234,M,two / go
235,236,M,yve / thryve
237,238,M,nyght / myght
239,240,M,hastily / i
241,242,M,yeres / freres
243,244,M,bet / biset
245,246,M,ago / so
247,248,M,seche / leche
249,250,M,toun / confusioun
251,252,E,covent / insufficient
253,254,M,myte / lyte
255,256,F,otes / grotes
257,258,M,go / so
259,260,M,twelve / himselve
261,262,F,toscatered / yflatered
263,264,M,noght / wroght
265,266,M,hyre / desire
267,268,M,covent / diligent
269,270,M,chirche / wirche
271,272,M,fynde / inde
273,274,M,ire / afyre
275,276,E,innocent / pacient
277,278,M,leste / beste
279,280,M,feith / seith
281,282,M,leon / oppression
283,284,M,flee / thee
285,286,F,slepeth / crepeth
287,288,M,subtilly / paciently
289,290,F,lyves / wyves
291,292,M,wyf / stryf
293,294,M,cruel / fel
295,296,M,ire / desire
297,298,F,sevene / hevene
299,300,E,destruccion / person
301,302,M,homycide / pryde
303,304,M,sorwe / to-morwe
305,306,M,nyght / myght
307,308,M,pitee / degree
309,310,F,potestat / estaat
311,312,M,two / so
313,314,M,noght / broght
315,316,M,slayn / certayn
317,318,M,he / thee
319,320,M,weye / deye
321,322,M,deed / reed
323,324,M,agayn / slayn
325,326,M,alyve / thryve
327,328,M,thre / he
329,330,M,deed / heed
331,332,M,deyth / seith
333,334,M,thee / thre
335,336,M,dronkelewe / shrewe
337,338,M,meynee / moralitee
339,340,M,thus / vicius
341,342,M,record / lord
343,344,M,ere / where
345,346,F,attemprely / wrecchedly
347,348,M,everichon / anon
349,350,M,experience / offence
351,352,M,myght / sight
353,354,M,moore / bifoore
355,356,M,wrecche / fecche
357,358,M,stonde / honde
359,360,M,ere / there
361,362,M,noon / agon
363,364,M,sight / knyght
365,366,M,seye / pleye
367,368,M,kan / man
369,370,M,telle / helle
371,372,E,percien / gysen
373,374,M,therinne / wynne
375,376,M,smal / al
377,378,M,kan / man
379,380,M,weye / seye
381,382,M,ire / squyre
383,384,M,herte / smerte
385,386,E,confessioun / symoun
387,388,M,curat / estat
389,390,M,he / humylitee
391,392,M,cloystre / oystre
393,394,M,eyse / reyse
395,396,F,fundement / pavement
397,398,F,wones / stones
399,400,M,helle / selle
401,402,F,predicacioun / destruccioun
403,404,M,bireve / leve
405,406,M,sonne / konne
407,408,M,he / elise
409,410,M,record / lord
411,412,M,charitee / knee
413,414,M,ire / on-fire
415,416,F,dissymulacioun / possessioun
417,418,M,oother / brother
419,420,M,weel / seel
421,422,M,yive / lyve
423,424,M,anon / noon
425,426,M,brother / oother
427,428,F,professioun / cavillacioun
429,430,M,feith / leith
431,432,M,lak / bak
433,434,M,bihynde / fynde
435,436,M,pryvetee / me
437,438,M,clifte / yifte
439,440,M,frere / heere
441,442,M,fart / cart
443,444,M,soun / leoun
445,446,F,bones / nones
447,448,M,may / affray
449,450,M,frere / cheere
451,452,M,stoor / boor
453,454,M,wrooth / gooth
455,456,M,honour / confessour
457,458,M,village / rage
459,460,M,bord / word
461,462,M,see / benedicitee
463,464,M,this / amys
465,466,M,thevys / is
467,468,M,may / day
469,470,M,village / page
471,472,M,abhomynacioun / toun
473,474,M,soore / hoore
475,476,M,eke / biseke
477,478,M,servitour / honour
479,480,M,calle / halle
481,482,M,grief / meschief
483,484,M,me / degree
485,486,M,soone / doone
487,488,M,confessour / savour
489,490,M,holde / tolde
491,492,M,what / sat
493,494,M,sayde / mayde
495,496,M,feithfully / herby
497,498,M,speede / dede
499,500,M,thee / vanytee
501,502,M,frenesye / lye
503,504,M,wreke / speke
505,506,M,me / be
507,508,F,meschaunce / traunce
509,510,M,doun / ymaginacioun
511,512,M,frere / mateere
513,514,M,mynde / fynde
515,516,M,question / demonstracion
517,518,M,part / fart
519,520,M,face / grace
521,522,M,now / how
523,524,M,be / thee
525,526,M,soun / reverberacioun
527,528,M,awey / fey
529,530,M,equally / shrewedly
531,532,M,spak / demonyak
533,534,M,pleye / weye
535,536,M,bord / word
537,538,M,sayd / apayd
539,540,M,gowne-clooth / wrooth
541,542,M,be / me
543,544,M,anon / john
545,546,M,fair / air
547,548,M,halle / alle
549,550,M,comunly / why
551,552,M,gesse / worthynesse
553,554,M,covent / assent
555,556,M,manere / frere
557,558,M,save / nave
559,560,M,toght / ybroght
561,562,M,cart / fart
563,564,M,lyf / demonstratif
565,566,M,wende / ende
567,568,M,confessour / honour
569,570,M,is / this
571,572,F,served / disserved
573,574,M,good / stood
575,576,M,me / thre
577,578,F,hardily / hoolily
579,580,M,frere / matere
581,582,M,ptholomee / subtiltee
583,584,M,spak / demonyak
585,586,M,gowne / towne
