Line Start,Line End,Rhyme Type,Words
1,2,M,auctoritee / me
3,4,M,mariage / age
5,6,M,lyve / fyve
7,8,M,bee / degree
9,10,M,is / onis
11,12,M,galilee / me
13,14,F,ones / nones
15,16,M,man / samaritan
17,18,M,he / thee
19,20,M,certeyn / seyn
21,22,M,man / samaritan
23,24,M,mariage / age
25,26,M,diffinicioun / doun
27,28,M,lye / multiplye
29,30,M,understonde / housbonde
31,32,M,me / he
33,34,M,octogamye / vileynye
35,36,M,salomon / oon
37,38,M,me / he
39,40,M,wyvys / is
41,42,M,wit / fit
43,44,M,lyve / fyve
45,46,M,shal / al
47,48,M,ygon / anon
49,50,M,free / me
51,52,M,synne / brynne
53,54,M,vileynye / bigamye
55,56,M,man / kan
57,58,M,two / also
59,60,M,age / mariage
61,62,M,me / virginitee
63,64,M,drede / maydenhede
65,66,M,noon / oon
67,68,F,comandement / juggement
69,70,M,maydenhede / dede
71,72,M,ysowe / growe
73,74,M,leeste / heeste
75,76,M,birginitee / see
77,78,M,wight / myght
79,80,M,mayde / sayde
81,82,M,he / virginitee
83,84,M,leve / repreve
85,86,M,dye / bigamye
87,88,M,touche / couche
89,90,M,assemble / resemble
91,92,M,virginitee / freletee
93,94,M,she / chastitee
95,96,E,envie / bigamye
97,98,M,goost / boost
99,100,M,houshold / gold
101,102,M,servyse / wyse
103,104,M,yifte / shifte
105,106,M,perfeccion / devocion
107,108,M,welle / selle
109,110,M,poore / foore
111,112,M,parfitly / I
113,114,M,age / mariage
115,116,M,conclusion / generacion
117,118,M,ywroght / noght
119,120,M,doun / purgacioun
121,122,M,smale / male
123,124,M,no / so
125,126,M,wrothe / bothe
127,128,M,ese / displese
129,130,M,sette / dette
131,132,M,paiement / instrument
133,134,M,creature / engendrure
135,136,M,holde / tolde
137,138,M,engendrure / cure
139,140,M,man / bigan
141,142,F,chastitee / virginitee
143,144,M,whete-seed / barly-breed
145,146,M,kan / man
147,148,M,us / precius
149,150,M,instrument / sent
151,152,M,sorwe / morwe
153,154,M,dette / lette
155,156,M,thral / withal
157,158,M,wyf / lyf
159,160,M,he / me
161,162,M,weel / deel
163,164,M,anon / john
165,166,M,cas / allas
167,168,M,deere / to-yeere
169,170,M,bigonne / tonne
171,172,M,ale / tale
173,174,M,mariage / age
175,176,M,whippe / sippe
177,178,F,abroche / approche
179,180,M,ten / men
181,182,M,be / ptholomee
183,184,M,there / were
185,186,M,bigan / man
187,188,M,praktike / like
189,190,M,compaignye / fantasye
191,192,M,seye / pleye
193,194,M,tale / ale
195,196,M,hadde / badde
197,198,M,olde / holde
199,200,M,me / pardee
201,202,M,thynke / swynke
203,204,M,stoor / tresoor
205,206,M,diligence / reverence
207,208,M,above / love
209,210,M,oon / noon
211,212,M,hond / lond
213,214,M,plese / ese
215,216,M,fey / weilawey
217,218,M,trowe / dunmowe
219,220,M,lawe / fawe
221,222,M,fayre / faire
223,224,M,spitously / proprely
225,226,M,understonde / honde
227,228,M,man / kan
229,230,M,wyse / mysavyse
231,232,M,good / wood
233,234,M,mayde / sayde
235,236,M,array / gay
237,238,M,gooth / clooth
239,240,M,hous / amorous
241,242,M,benedicite / be
243,244,M,freend / feend
245,246,M,hous / mous
247,248,M,preef / meschief
249,250,M,costage / parage
251,252,M,tormentrie / malencolie
253,254,M,knave / have
255,256,M,abyde / syde
257,258,M,richesse / fairnesse
259,260,F,daunce / daliaunce
261,262,M,smale / tale
263,264,M,wal / al
265,266,M,she / se
267,268,M,lepe / chepe
269,270,M,lake / make
271,272,M,welde / helde
273,274,M,bedde / wedde
275,276,F,hevene / levene
277,278,M,tobroke / smoke
279,280,M,flee / benedicitee
281,282,M,chide / hide
283,284,M,shewe / shrewe
285,286,F,houndes / stoundes
287,288,M,bye / housbondrye
289,290,F,array / assay
291,292,M,shrewe / shewe
293,294,M,me / beautee
295,296,M,face / place
297,298,M,day / gay
299,300,M,honour / bour
301,302,M,allyes / lyes
303,304,M,janekyn / fyn
305,306,M,doun / suspecioun
307,308,M,tomorwe / sorwe
309,310,M,me / pardee
311,312,M,dame / jame
313,314,M,wood / good
315,316,M,yen / spyen
317,318,M,chiste / liste
319,320,F,talys / alys
321,322,M,charge / large
323,324,M,be / ptholome
325,326,M,almageste / hyeste
327,328,M,honde / understonde
329,330,M,care / fare
331,332,M,leve / eve
333,334,M,werne / lanterne
335,336,M,pardee / thee
337,338,M,gay / array
339,340,M,chastitee / thee
341,342,M,name / shame
343,344,M,he / perree
345,346,M,riche / rubriche
347,348,M,gnat / cat
349,350,M,skyn / in
351,352,M,gay / day
353,354,F,dawed / a-caterwawed
355,356,M,shrewe / shewe
357,358,M,spyen / yen
359,360,M,best / lest
361,362,M,thee / thre
363,364,M,erthe / ferthe
365,366,M,lyf / wyf
367,368,F,meschances / resemblances
369,370,M,to / tho
371,372,M,helle / dwelle
373,374,M,fyr / desir
375,376,M,be / tree
377,378,M,housbonde / bonde
379,380,M,understonde / honde
381,382,F,dronkenesse / witnesse
383,384,M,also / wo
385,386,M,pyne / whyne
387,388,M,gilt / spilt
389,390,M,grynt / ystynt
391,392,M,blyve / lyve
393,394,M,honde / stonde
395,396,M,he / chiertee
397,398,M,nyghte / dighte
399,400,M,myrthe / byrthe
401,402,M,yive / lyve
403,404,M,me / degree
405,406,M,thyng / grucchyng
407,408,F,meschaunce / plesaunce
409,410,M,abyde / syde
411,412,M,me / necetee
413,414,M,telle / selle
415,416,M,lure / endure
417,418,F,appetit / delit
419,420,M,chide / biside
421,422,M,bord / word
423,424,M,omnipotent / testament
425,426,M,quit / wit
427,428,M,beste / reste
429,430,M,leon / conclusion
431,432,M,keep / sheep
433,434,M,cheke / meke
435,436,M,conscience / pacience
437,438,M,preche / teche
439,440,M,pees / doutelees
441,442,F,resonable / suffrable
