Line Start,Line End,Rhyme Type,Words
1,2,M,arthour / honour
3,4,M,fayerye / compaignye
5,6,M,mede / rede
7,8,M,ago / mo
9,10,M,prayers / freres
11,12,M,streem / sonne-beem
13,14,F,boures / toures
15,16,F,dayeryes / fayeryes
17,18,M,elf / hymself
19,20,F,morwenynges / thynges
21,22,M,lymytacioun / doun
23,24,M,tree / he
25,26,M,dishonour / arthour
27,28,M,bacheler / ryver
29,30,M,born / biforn
31,32,M,heed / maydenhed
33,34,F,clamour / arthour
35,36,M,deed / heed
37,38,M,tho / mo
39,40,M,grace / place
41,42,M,wille / spille
43,44,M,myght / knyght
45,46,M,day / array
47,48,M,suretee / me
49,50,F,desiren / iren
51,52,M,anon / gon
53,54,M,leere / mateere
55,56,M,pace / place
57,58,F,siketh / liketh
59,60,M,wende / ende
61,62,M,purveye / weye
63,64,M,place / grace
65,66,M,moost / coost
67,68,M,mateere / in-feere
69,70,M,richesse / jolynesse
71,72,M,abedde / wedde
73,74,F,esed / yplesed
75,76,M,lye / flaterye
77,78,M,bisynesse / lesse
79,80,M,best / lest
81,82,M,vice / nyce
83,84,M,alle / galle
85,86,M,sooth / dooth
87,88,M,withinne / synne
89,90,M,we / secree
91,92,M,dwelle / telle
93,94,M,rake-stele / hele
95,96,M,tale / smale
97,98,F,heres / eres
99,100,M,myghte / sighte
101,102,F,namo / also
103,104,M,creature / disfigure
105,106,M,wynne / synne
107,108,M,name / shame
109,110,M,dyde / hyde
111,112,M,herte / asterte
113,114,M,man / ran
115,116,M,a-fyre / myre
117,118,M,doun / soun
119,120,M,namo / two
121,122,M,oute / doute
123,124,M,abyde / hyde
125,126,M,heere / leere
127,128,M,moost / goost
129,130,M,sojourne / tourne
131,132,M,ryde / syde
133,134,M,go / mo
135,136,M,yerne / lerne
137,138,M,there / where
139,140,M,lyf / wyf
141,142,M,devyse / ryse
143,144,M,wey / fey
145,146,M,be / she
147,148,M,certeyn / seyn
149,150,M,desire / hire
151,152,M,she / thee
153,154,M,myght / nyght
155,156,M,grante / avante
157,158,M,therby / I
159,160,M,alle / calle
161,162,M,teche / speche
163,164,M,ere / fere
165,166,M,knyght / hight
167,168,M,sayde / mayde
169,170,M,wise / justise
171,172,M,heere / appeere
173,174,M,silence / audience
175,176,M,best / best
177,178,M,answerde / herde
179,180,M,he / sovereynetee
181,182,M,love / above
183,184,M,kille / wille
185,186,M,mayde / sayde
187,188,M,lyf / wyf
189,190,M,grene / queene
191,192,M,right / knyght
193,194,M,there / requere
195,196,M,myghte / knyght
197,198,M,wyf / lyf
199,200,M,fey / weylawey
201,202,M,biheste / requeste
203,204,M,go / two
205,206,M,poore / oore
207,208,M,above / love
209,210,F,dampnacioun / nacioun
211,212,M,be / he
213,214,M,wedde / bedde
215,216,M,paraventure / cure
217,218,M,array / day
219,220,M,shal / al
221,222,M,sorwe / morwe
223,224,M,owle / foule
225,226,M,thoght / ybroght
227,228,M,fro / everemo
229,230,M,benedicitee / ye
231,232,M,hous / dangerous
233,234,M,wyf / lyf
235,236,M,unright / nyght
237,238,M,wit / it
239,240,M,may / nay
241,242,M,mo / also
243,244,M,kynde / wynde
245,246,M,breste / unreste
247,248,M,is / this
249,250,M,thre / me
251,252,F,gentillesse / richesse
253,254,M,men / hen
255,256,M,alway / ay
257,258,M,kan / man
259,260,F,gentillesse / richesse
261,262,M,heritage / parage
263,264,M,thyng / lyvyng
265,266,M,be / degree
267,268,M,florence / sentence
269,270,M,tale / smale
271,272,M,goodnesse / gentillesse
273,274,M,clayme / mayme
275,276,M,I / natureelly
277,278,M,lyne / fyne
279,280,M,office / vice
281,282,M,hous / kaukasous
283,284,M,thenne / brenne
285,286,M,biholde / holde
287,288,M,dye / genterye
289,290,F,possessioun / operacioun
291,292,M,kynde / fynde
293,294,M,vileynye / gentrye
295,296,M,hous / vertuous
297,298,M,dedis / is
299,300,M,erl / cherl
301,302,M,renomee / bountee
303,304,M,persone / allone
305,306,M,grace / place
307,308,M,valerius / hostillius
309,310,M,noblesse / boece
311,312,M,is / dedis
313,314,M,conclude / rude
315,316,M,I / vertuously
317,318,M,bigynne / synne
319,320,M,repreeve / bileeve
321,322,M,lyf / wyf
323,324,M,kyng / lyvyng
325,326,M,certeyn / seyn
327,328,M,poverte / sherte
329,330,M,wight / myght
331,332,M,have / knave
333,334,M,proprely / myrily
335,336,M,weye / pleye
337,338,M,gesse / bisynesse
339,340,F,sapience / pacience
341,342,F,alenge / chalenge
343,344,M,lowe / knowe
345,346,M,me / see
347,348,M,greve / repreve
349,350,M,me / auctoritee
351,352,M,honour / favour
353,354,M,gentillesse / gesse
355,356,M,old / cokewold
357,358,M,thee / chastitee
359,360,F,delit / appetit
361,362,M,tweye / deye
363,364,M,wyf / lyf
365,366,M,fair / repair
367,368,M,me / be
369,370,F,liketh / siketh
371,372,M,manere / deere
373,374,F,governance / plesance
375,376,M,also / two
377,378,M,me / she
379,380,M,lest / best
381,382,M,wrothe / bothe
383,384,M,good / wood
385,386,M,trewe / newe
387,388,M,seene / queene
389,390,M,west / lest
391,392,M,is / this
393,394,M,therto / two
395,396,M,blisse / kisse
397,398,M,thyng / likyng
399,400,M,ende / sende
401,402,M,abedde / wedde
403,404,F,lyves / wyves
405,406,F,dispence / pestilence
