Line Number,Word 1,Word 2,Rhyme Type
1,contree,degree,M
3,execucioun,fornicacioun,F
5,bawderye,avowtrye,M
7,testamentz,sacramentz,F
9,also,wo,M
11,hent,yshent,M
13,pleyne,peyne,M
15,offrynge,synge,F
17,hook,book,M
19,jurisdiccioun,correccioun,F
21,hond,engelond,M
23,espiaille,availle,M
25,two,mo,M
27,hare,spare,M
29,correccioun,jurisdiccioun,F
31,lyves,styves,F
33,cure,mysaventure,F
35,tale,gale,M
37,deere,frere,M
39,hond,engelond,M
41,knewe,newe,M
43,prively,therby,F
45,wan,man,M
47,curs,purs,M
49,nale,smale,M
51,he,duetee,M
53,laude,baude,M
55,retenue,huwe,E
57,were,ere,M
59,assent,mandement,M
61,two,go,M
63,sake,blake,M
65,travaille,availle,F
67,mo,two,M
69,bowe,yknowe,M
71,lecchour,paramour,M
73,rente,entente,M
75,day,pray,M
77,ribibe,brybe,M
79,ryde,syde,M
81,kene,grene,M
83,blake,atake,M
85,felawe,shawe,M
87,day,nay,M
89,entente,rente,M
91,duetee,he,M
93,shame,name,M
95,broother,another,M
97,contree,thee,M
99,leste,cheste,M
101,shire,desire,M
103,feith,leith,M
105,deye,pleye,M
107,jangles,waryangles,M
109,thyng,dwellyng,M
111,seche,speche,M
113,contree,see,M
115,wisse,mysse,M
117,preye,weye,M
119,I,feithfully,M
121,wynne,synne,M
123,ye,he,M
125,tale,smale,M
127,daungerous,laborous,F
129,lyve,yive,M
131,violence,dispence,F
133,feithfully,I,M
135,woot,hoot,M
137,prively,I,M
139,lyven,shryven,F
141,noon,everychoon,M
143,jame,name,M
145,while,smyle,M
147,telle,helle,M
149,purchasyng,thyng,M
151,rente,entente,M
153,how,now,M
155,preye,ye,M
157,trewely,I,M
159,determinat,estat,M
161,noon,oon,M
163,shape,ape,M
165,go,so,M
167,thee,he,M
169,goon,oon,M
171,make,take,M
173,labour,somonour,M
175,tyme,pryme,M
177,day,may,M
179,declare,bare,M
181,thee,we,M
183,instrumentz,comandementz,M
185,creatures,figures,F
187,certayn,ther-agayn,M
189,leve,greve,M
191,wo,two,M
193,eke,seke,M
195,unreste,beste,M
197,temptacioun,savacioun,F
199,entente,hente,M
201,man,dunstan,M
203,I,feithfully,M
205,alway,nay,M
207,aryse,wyse,M
209,wel,samuel,M
211,he,dyvynytee,M
213,jape,shape,M
215,deere,leere,M
217,experience,sentence,F
219,lyve,blyve,M
221,thee,me,M
223,bityde,wyde,M
225,cas,sathanas,M
227,brother,oother,M
229,cas,purchas,M
231,yive,lyve,M
233,oother,brother,M
235,fey,wey,M
237,ende,wende,M
239,hey,wey,M
241,stood,wood,M
243,stones,bones,F
245,foled,tholed,F
247,hey,pley,M
249,were,ere,M
251,feith,seith,M
253,thee,thre,M
255,deel,weel,M
257,me,see,M
259,croupe,stoupe,M
261,blesse,lesse,M
263,boy,loy,M
265,pardee,thee,M
267,brother,another,F
269,viage,cariage,M
271,towne,rowne,M
273,rebekke,nekke,M
275,good,wood,M
277,office,vice,M
279,contree,me,M
281,gate,virytrate,M
283,thee,benedicitee,M
285,wille,bille,M
287,be,knee,M
289,thynges,kynges,F
291,may,day,M
293,ryde,syde,M
295,somonour,procuratour,M
297,me,se,M
299,acquite,lite,M
301,I,hastily,M
303,tarye,marie,E
305,synne,wynne,M
307,hoold,oold,M
309,wrecche,fecche,M
311,spilt,gilt,M
313,anne,panne,M
315,old,cokewold,M
317,correccioun,savacioun,F
319,wyf,lyf,M
321,trewe,hewe,M
323,also,so,M
325,manere,deere,M
327,seye,deye,M
329,repente,entente,F
331,me,thee,M
333,clooth,wrooth,M
335,right,to-nyght,M
337,privetee,dyvynytee,M
339,hente,wente,M
341,heritage,ymage,M
343,some,bicome,M
345,frere,heere,M
347,john,oon,M
349,agryse,devyse,M
351,telle,helle,M
353,place,grace,M
355,sathanas,cas,M
357,alway,may,M
359,withstonde,bonde,M
361,myght,knyght,M
363,repente,hente,M
