Line Number,Word 1,Word 2,Rhyme Type
1,soote,roote,M
3,licour,flour,M
5,breeth,heeth,M
7,sonne,yronne,M
9,melodye,ye,M
11,corages,pilgrimages,F
13,strondes,londes,F
15,ende,wende,M
17,seke,seeke,M
19,day,lay,M
21,pilgrymage,corage,M
23,hostelrye,compaignye,M
25,yfalle,alle,M
27,ryde,wyde,M
29,beste,reste,M
31,everichon,anon,M
33,ryse,devyse,M
35,space,pace,M
37,resoun,condicioun,F
39,me,degree,M
41,inne,bigynne,M
43,man,bigan,M
45,chivalrie,curteisie,M
47,werre,ferre,M
49,hethenesse,worthynesse,M
51,wonne,bigonne,M
53,pruce,ruce,M
55,degree,be,M
57,belmarye,satalye,F
59,see,be,M
61,fiftene,tramyssene,M
63,foo,also,M
65,palatye,turkye,M
67,prys,wys,M
69,mayde,sayde,M
71,wight,knyght,M
73,array,gay,M
75,gypon,habergeon,E
77,viage,pilgrymage,M
79,squier,bacheler,M
81,presse,gesse,M
83,lengthe,strengthe,M
85,chyvachie,pycardie,F
87,space,grace,M
89,meede,reede,F
91,day,may,M
93,wyde,ryde,M
95,endite,write,M
97,nyghtertale,nyghtyngale,M
99,servysable,table,F
101,namo,so,M
103,grene,kene,M
105,thriftily,yemanly,M
107,lowe,bowe,M
109,visage,usage,M
111,bracer,bokeler,M
113,daggere,spere,M
115,sheene,grene,M
117,gesse,prioresse,M
119,coy,loy,M
121,eglentyne,dyvyne,M
123,semely,fetisly,M
125,bowe,unknowe,M
127,alle,falle,M
129,depe,kepe,M
131,brest,lest,M
133,clene,sene,M
135,draughte,raughte,M
137,desport,port,M
139,cheere,manere,M
141,reverence,conscience,F
143,pitous,mous,M
145,bledde,fedde,M
147,wastel-breed,deed,M
149,smerte,herte,M
151,was,glas,M
153,reed,forheed,M
155,trowe,undergrowe,M
157,war,bar,M
159,grene,sheene,M
161,a,omnia,M
163,she,thre,M
165,maistrie,venerie,M
167,able,stable,F
169,heere,cleere,M
171,belle,celle,M
173,beneit,streit,M
175,pace,space,M
177,hen,men,M
179,recchelees,waterlees,F
181,cloystre,oystre,M
183,good,wood,M
