Line Number,Word 1,Word 2,Rhyme Type
1,us,theseus,M
3,governour,conquerour,M
5,sonne,wonne,M
7,chivalrie,femenye,E
9,scithia,ypolita,E
11,contree,solempnytee,M
13,emelye,melodye,M
15,ryde,bisyde,M
17,heere,manere,M
19,femenye,chivalrye,M
21,nones,amazones,F
23,ypolita,scithia,E
25,weddynge,hoom-comynge,F
27,forbere,ere,M
29,plough,ynough,M
31,route,aboute,M
33,wynne,bigynne,M
35,mencioun,toun,M
37,pride,aside,M
39,weye,tweye,M
41,blake,make,M
43,lyvynge,waymentynge,F
45,stenten,henten,F
47,homcomynge,criynge,F
49,envye,crye,M
51,offended,amended,F
53,blak,spak,M
55,cheere,heere,M
57,yiven,lyven,M
59,honour,socour,F
61,distresse,gentillesse,F
63,falle,alle,M
65,queene,seene,M
67,wheel,weel,M
69,presence,clemence,F
71,fourtenyght,myght,M
73,thus,cappaneus,M
75,day,array,M
77,lamentacioun,toun,M
79,lay,weylaway,M
81,citee,iniquitee,M
83,tirannye,vileynye,M
85,yslawe,ydrawe,F
87,assent,ybrent,M
89,despit,respit,F
91,pitously,mercy,M
93,herte,sterte,M
95,speke,breke,M
97,maat,estaat,M
99,hente,entente,M
101,knyght,myght,M
103,wreke,speke,M
105,yserved,deserved,F
107,abood,rood,M
109,biside,ride,M
111,day,lay,M
113,queene,sheene,M
115,dwelle,telle,M
117,targe,large,M
119,doun,penoun,M
121,ybete,crete,M
123,conquerour,flour,M
125,alighte,fighte,M
127,thyng,kyng,M
129,knyght,flyght,M
131,after,rafter,F
133,agayn,slayn,M
135,gyse,devyse,M
137,waymentynge,brennynge,F
139,honour,conquerour,M
141,wente,entente,M
143,theseus,thus,M
145,reste,leste,M
147,dede,wede,M
149,cure,disconfiture,F
151,founde,wounde,M
153,by,richely,M
155,oon,palamon,M
157,were,gere,M
159,special,roial,M
161,yborn,torn,M
163,tente,sente,M
165,prisoun,raunsoun,F
167,ydon,anon,M
169,conquerour,honour,M
171,mo,wo,M
173,arcite,quite,M
175,day,may,M
177,sene,grene,M
179,newe,hewe,M
181,two,do,M
183,dight,a-nyght,M
185,herte,sterte,M
187,observaunce,remembraunce,F
189,ryse,devyse,M
191,tresse,gesse,M
193,upriste,liste,M
195,rede,hede,M
197,soong,stroong,M
199,dongeoun,prisoun,F
201,shal,wal,M
203,pleyynge,morwenynge,F
205,prisoner,gayler,M
207,heigh,seigh,M
209,grene,shene,M
211,doun,palamoun,M
213,fro,wo,M
215,allas,cas,M
217,barre,sparre,M
219,emelya,a,M
221,herte,sterte,M
223,thee,see,M
225,offence,pacience,F
227,be,adversitee,M
229,disposicioun,constellacioun,F
231,sworn,born,M
233,playn,agayn,M
235,opinioun,ymaginacioun,F
237,crye,ye,M
239,be,see,M
241,fro,wo,M
243,goddesse,gesse,M
245,fil,wil,M
247,transfigure,creature,F
249,scapen,shapen,F
251,prisoun,compassioun,F
253,tirannye,espye,M
255,fro,so,M
257,sore,moore,M
259,pitously,sodeynly,M
261,place,grace,M
263,weye,seye,M
265,herde,answerde,M
267,pley,fey,M
269,pleye,tweye,M
271,honour,traitour,M
273,brother,oother,M
275,peyne,tweyne,M
277,oother,brother,M
279,me,thee,M
281,certeyn,withseyn,M
283,doute,aboute,M
285,serve,sterve,M
287,so,wo,M
289,sworn,biforn,M
291,knyght,myght,M
293,seyn,ageyn,M
295,I,outrely,M
297,thow,now,M
299,goddesse,hoolynesse,M
301,creature,aventure,F
303,sworn,biforn,M
305,sawe,lawe,M
307,pan,man,M
309,decree,degree,F
311,heed,deed,M
313,wyf,lyf,M
315,I,verraily,M
317,prisoun,raunsoun,F
319,boon,noon,M
321,wrothe,bothe,M
323,brother,oother,M
325,shal,al,M
327,endure,aventure,F
329,tweye,seye,M
331,day,may,M
333,perotheus,theseus,M
335,lite,visite,M
337,do,so,M
339,agayn,sayn,M
341,telle,helle,M
343,write,arcite,M
345,yere,preyere,M
347,raunsoun,prisoun,F
349,al,shal,M
351,endite,arcite,M
353,yfounde,stounde,M
355,theseus,thus,M
357,heed,reed,M
359,spedde,wedde,M
361,arcite,smyte,M
363,pitously,prively,M
365,born,biforn,M
367,dwelle,helle,M
369,perotheus,theseus,M
371,everemo,wo,M
373,serve,deserve,M
375,me,he,M
377,aventure,dure,F
379,paradys,dys,M
381,absence,presence,F
383,able,chaungeable,F
385,atteyne,bareyne,F
387,dispeir,eir,M
389,is,this,M
391,distresse,gladnesse,M
393,commune,fortune,F
395,gyse,devyse,M
397,richesse,siknesse,F
399,fayn,slayn,M
401,mateere,heere,M
403,mous,hous,M
405,thider,slider,F
407,we,felicitee,M
409,trewely,I,M
411,opinioun,prisoun,F
413,heele,wele,M
415,emelye,remedye,F
417,palamon,agon,F
419,tour,clamour,M
421,grete,wete,M
423,myn,thyn,M
425,large,charge,M
427,manhede,kynrede,M
429,citee,tretee,M
431,wyf,lyf,M
433,possibilitee,free,M
435,avauntage,cage,M
437,lyve,yive,M
439,also,wo,M
441,sterte,herte,M
443,biholde,colde,M
445,governe,eterne,M
447,atthamaunt,graunt,M
449,holde,folde,M
451,beest,arreest,M
453,adversitee,pardee,M
455,prescience,innocence,F
457,penaunce,observaunce,F
459,wille,fulfille,M
461,peyne,pleyne,M
463,wo,so,M
465,dyvynys,ys,M
467,theef,mescheef,M
469,turne,saturne,M
471,wood,blood,M
473,wyde,syde,M
475,arcite,lite,M
477,dwelle,telle,M
479,longe,stronge,M
481,prisoner,mester,M
483,palamoun,prisoun,F
485,deed,heed,M
487,contree,see,M
489,questioun,palamoun,F
491,day,alway,M
493,go,mo,M
495,kan,bigan,M
497,pars,secunda,M
499,was,allas,M
501,mo,wo,M
503,creature,dure,F
505,biraft,shaft,M
507,biholde,colde,M
509,allone,mone,M
511,instrument,stent,M
513,lowe,knowe,M
515,herde,ferde,M
517,maladye,manye,F
519,malencolik,fantastik,M
521,doun,disposicioun,M
523,arcite,endite,M
525,two,wo,M
527,seyde,leyde,M
529,mercurie,murie,F
531,uprighte,brighte,M
533,keep,sleep,M
535,wende,ende,M
537,sterte,smerte,M
539,fare,spare,M
541,serve,sterve,M
543,mirour,colour,M
545,kynde,mynde,M
547,disfigured,endured,F
549,lowe,unknowe,M
551,day,array,M
553,laborer,squier,M
555,cas,was,M
557,way,day,M
559,servyse,devyse,F
561,seyn,chamberleyn,M
563,emelye,espye,F
565,here,bere,M
567,nones,bones,F
569,devyse,servyse,F
571,brighte,highte,M
573,he,degree,M
575,condicioun,renoun,F
577,charitee,degree,M
579,servyse,excercise,F
581,spronge,tonge,M
583,neer,squier,M
585,degree,contree,M
587,rente,spente,M
589,hadde,ladde,M
591,werre,derre,M
593,arcite,lite,M
595,prisoun,palamoun,F
597,distresse,hevynesse,M
599,so,wo,M
601,prisoner,yer,M
603,proprely,I,M
605,may,may,M
607,seyn,pleyn,M
609,destynee,be,M
611,palamoun,prisoun,F
613,go,so,M
615,wyn,fyn,M
617,shake,awake,M
619,may,day,M
621,hyde,bisyde,M
623,palamon,opinion,E
625,day,way,M
627,preye,werreye,M
629,lif,wyf,M
631,pleyn,ageyn,M
633,care,snare,M
635,day,gray,M
637,bright,light,M
639,greves,leves,F
641,roial,principal,M
643,day,may,M
645,desir,fir,M
647,pleye,tweye,M
649,tolde,holde,M
651,greves,leves,F
653,shene,grene,M
655,may,may,M
657,herte,sterte,M
659,doun,palamoun,M
661,se,he,M
663,arcite,lite,M
665,yeres,eres,M
667,evene,stevene,F
669,felawe,sawe,M
671,stille,fille,M
673,lustily,sodeynly,M
675,geres,breres,F
677,welle,telle,M
679,faste,overcaste,M
681,day,array,M
683,ylike,sike,M
685,moore,bore,M
687,crueltee,citee,M
689,confusioun,amphioun,F
691,man,bigan,M
693,kyng,ofspryng,M
695,roial,thral,M
697,enemy,povrely,F
699,shame,name,M
701,arcite,myte,M
703,juno,fordo,M
705,palamoun,prisoun,F
707,outrely,brennyngly,M
709,herte,sherte,M
711,emelye,dye,M
713,care,tare,M
715,plesaunce,traunce,F
717,sterte,herte,M
719,glyde,byde,M
721,tale,pale,M
723,thikke,wikke,M
725,so,wo,M
727,sworn,heerbiforn,M
