Line Number,Word 1,Word 2,Rhyme Type
1,oxenford,bord,M
3,carpenter,scoler,M
5,fantasye,astrologye,M
7,conclusiouns,interrogaciouns,M
9,houres,shoures,F
11,bifalle,alle,M
13,nicholas,solas,F
15,privee,see,M
17,hostelrye,compaignye,M
19,swoote,roote,M
21,cetewale,smale,M
23,art,apart,M
25,heed,reed,M
27,sautrie,melodie,M
29,rong,song,M
31,noote,throte,M
33,spente,rente,M
35,wyf,lyf,M
37,age,cage,M
39,old,cokewold,M
41,rude,simylitude,M
43,estaat,debaat,F
45,snare,care,M
47,therwithal,smal,M
49,silk,milk,M
51,goore,bifoore,M
53,aboute,withoute,M
55,voluper,coler,M
57,hye,ye,M
59,two,sloo,M
61,see,tree,M
63,wether,lether,F
65,latoun,doun,M
67,thenche,wenche,M
69,hewe,newe,M
71,yerne,berne,M
73,game,dame,M
75,meeth,heeth,M
77,colt,bolt,M
79,coler,bokeler,M
81,hye,piggesnye,M
83,bedde,wedde,M
85,cas,nicholas,M
87,pleye,oseneye,M
89,queynte,queynte,M
91,wille,spille,M
93,haunchebones,atones,F
95,save,trave,M
97,awey,fey,M
99,nicholas,allas,M
101,curteisye,crye,M
103,faste,laste,M
105,kent,comandement,M
107,espie,jalousie,M
109,privee,she,M
111,cas,nicholas,M
113,whyle,bigyle,M
115,ysworn,biforn,M
117,everideel,weel,M
119,sawtrie,melodie,M
121,chirche,wirche,M
123,haliday,day,M
125,werk,clerk,M
127,absolon,shoon,M
129,brode,shode,M
131,goos,shoos,M
133,fetisly,proprely,M
135,waget,set,M
137,surplys,rys,M
139,save,shave,M
141,acquitaunce,daunce,F
143,tho,fro,M
145,rubible,quynyble,M
147,giterne,taverne,M
149,solas,was,M
151,squaymous,daungerous,F
153,gay,haliday,M
155,faste,caste,M
157,wyf,lyf,M
159,likerous,mous,M
161,anon,absolon,M
163,love-longynge,offrynge,F
165,noon,shoon,M
167,ytake,wake,M
169,amorous,hous,M
171,ycrowe,shot-wyndowe,F
173,wal,smal,M
175,be,me,M
177,gyternynge,synge,F
179,anon,absolon,M
181,wal,therwithal,M
183,deel,weel,M
185,absolon,bigon,M
187,day,gay,M
189,brocage,page,M
191,nyghtyngale,ale,M
193,gleede,meede,F
195,richesse,gentillesse,F
197,maistrye,hye,M
199,cas,nicholas,M
201,horn,scorn,M
203,ape,jape,M
205,lye,slye,M
207,looth,wrooth,M
209,sight,light,M
211,nicholas,allas,M
213,saterday,osenay,F
215,alisoun,conclusioun,F
217,wyle,bigyle,M
219,aright,nyght,M
221,also,mo,M
223,tarie,carie,F
225,tweye,seye,M
227,nicholas,was,M
229,ye,maladye,M
231,calle,falle,M
233,saterday,lay,M
235,leste,reste,M
237,merveyle,eyle,M
239,thomas,nicholas,F
241,sodeynly,sikerly,M
243,chirche,wirche,M
245,anoon,stoon,M
247,boldely,sturdily,M
249,stood,wood,M
251,nicholay,day,M
253,word,bord,M
255,crepe,depe,M
257,sight,upright,M
259,moone,soone,M
261,man,bigan,M
263,frydeswyde,bityde,M
265,astromye,agonye,F
267,be,pryvetee,M
269,man,kan,M
271,astromye,prye,M
273,bifalle,yfalle,M
275,thomas,nicholas,F
277,studiyng,kyng,M
279,underspore,dore,M
281,gesse,dresse,M
283,nones,atones,F
285,anon,stoon,M
287,eir,despeir,M
289,myghtily,spitously,M
291,adoun,passioun,F
293,wightes,anon-rightes,F
295,aboute,withoute,M
297,benedight,wight,M
299,pater-noster,soster,F
301,nicholas,allas,M
303,now,seystow,M
305,swynke,drynke,M
307,pryvetee,thee,M
309,certeyn,ageyn,M
311,quart,part,M
313,shette,sette,M
315,deere,heere,M
317,wreye,seye,M
319,forlore,therfore,M
321,wood,blood,M
323,labbe,gabbe,M
325,telle,helle,M
327,lye,astrologye,M
329,bright,nyght,M
331,wood,flood,M
333,hour,shour,M
335,lyf,wyf,M
337,alisoun,adoun,F
339,cas,nicholas,M
341,reed,heed,M
343,trewe,rewe,M
345,conseil,seyl,M
347,me,noe,M
349,biforn,lorn,M
351,ago,also,F
353,felaweshipe,shipe,M
355,undertake,blake,M
357,allone,doone,M
359,thyng,tariyng,M
361,in,kymelyn,M
363,large,barge,M
365,suffisant,remenant,M
367,away,day,M
369,knave,save,M
371,me,pryvetee,M
373,madde,hadde,M
375,doute,heer-aboute,M
377,me,thre,M
379,hye,spye,M
381,seyd,yleyd,M
383,atwo,go,M
385,gable,stable,F
387,way,away,M
389,undertake,drake,M
391,john,anon,M
393,nicholay,day,M
395,lyf,wyf,M
397,right,nyght,M
399,bord,word,M
401,preyere,deere,M
403,atwynne,synne,M
405,deede,speede,F
407,aslepe,crepe,M
409,grace,space,M
411,sermonyng,thyng,M
413,teche,biseche,M
415,wey,weylawey,M
417,pryvetee,he,M
419,seye,deye,M
421,anon,echon,M
423,wyf,lyf,M
425,affeccioun,ymaginacioun,F
427,take,quake,M
429,see,see,M
431,deere,cheere,M
433,swogh,trogh,M
435,kymelyn,in,M
437,pryvetee,thre,M
439,stalkes,balkes,F
441,tubbe,jubbe,M
443,day,array,M
445,also,go,M
447,nyght,candel-lyght,M
449,be,thre,M
451,way,nicholay,M
453,alisoun,devocioun,F
455,preyere,heere,M
457,bisynesse,gesse,M
459,moore,soore,M
461,myslay,nicholay,M
463,spedde,bedde,M
465,lye,melodye,M
467,nicholas,solas,F
469,rynge,synge,F
471,absolon,bigon,M
473,oseneye,pleye,M
475,cloisterer,carpenter,F
477,chirche,wirche,M
479,went,sent,M
481,go,two,M
483,certeyn,seyn,M
485,light,nyght,M
487,stirynge,sprynge,F
489,crowe,wyndowe,M
491,wal,al,M
493,mysse,kisse,M
495,parfay,day,M
497,leeste,feeste,M
499,tweye,pleye,M
501,anon,absolon,M
503,poynt-devys,lycorys,M
505,heer,beer,M
507,gracious,hous,M
509,shot-wyndowe,lowe,M
511,soun,alisoun,M
513,cynamome,me,M
515,wo,go,M
517,swete,tete,M
519,love-longynge,moornynge,F
521,mayde,sayde,M
523,me,blame,M
525,absolon,ston,M
527,wey,weylawey,M
529,biset,bet,M
531,me,she,M
533,absolon,anon,M
535,stille,fille,M
537,knees,degrees,M
539,moore,oore,M
541,haste,faste,M
543,espie,drie,M
545,cole,hole,M
547,wers,ers,M
549,this,amys,M
551,berd,yherd,M
553,do,to,M
555,pas,nicholas,M
557,weel,deel,M
559,byte,quyte,M
561,lippes,chippes,F
563,allas,sathanas,F
565,he,be,M
567,ybleynt,yqueynt,E
569,ers,kers,M
571,maladie,deffie,M
573,ybete,strete,M
575,gerveys,harneys,M
577,bisily,esily,F
579,anon,absalon,F
581,tree,benedicitee,M
583,woot,viritoot,M
585,mene,bene,M
587,yaf,distaf,M
589,deere,heere,M
591,doone,soone,M
593,gold,untold,M
595,smyth,therwith,M
597,may,day,M
599,stele,stele,M
601,wal,therwithal,M
603,er,ther,M
605,theef,leef,M
