Line Number,Word 1,Word 2,Rhyme Type
1,tragedie,degree,E
3,remedie,adversitee,E
5,flee,withholde,M
7,prosperitee,olde,E
9,were,bigynne,M
11,dere,synne,M
13,inne,alle,M
15,twynne,falle,M
17,damyssene,he,M
19,unclene,tree,M
21,degree,mysgovernaunce,E
23,prosperitee,meschaunce,E
25,annunciat,nativitee,E
27,consecrat,see,M
29,hee,hardynesse,M
31,secree,wrecchednesse,E
33,champioun,tweye,M
35,leoun,weye,M
37,preye,untrewe,M
39,biwreye,newe,E
41,ire,bond,M
43,fire,brond,M
45,lond,eke,M
47,hond,cheke,M
49,he,preye,M
51,pitee,deye,M
53,dreye,welle,M
55,seye,telle,M
57,nyght,citee,M
59,plyght,hee,M
61,see,deere,M
63,secree,peere,E
65,wyn,sheere,M
67,divyn,weere,E
69,yeere,governaunce,M
71,teere,meschaunce,M
73,tolde,lay,M
75,solde,day,M
77,away,espyen,E
79,array,yen,M
81,yshave,bynde,M
83,cave,grynde,M
85,mankynde,richesse,M
87,blynde,wrecchednesse,M
89,seye,day,M
91,pleye,array,M
93,affray,falle,E
95,lay,alle,M
97,everichoon,slayn,M
99,stoon,sayn,M
101,playn,wyves,M
103,fayn,lyves,M
105,conquerour,renoun,M
107,flour,leoun,M
109,adoun,felle,E
111,dragoun,helle,E
113,busirus,boon,M
115,venymus,oon,M
117,stoon,stronge,M
119,anon,longe,E
121,bigan,he,M
123,ran,bountee,M
125,see,lette,M
127,trophee,sette,E
129,champioun,may,M
131,mencioun,gay,M
133,weylaway,withalle,E
135,day,falle,M
137,excusen,maked,M
139,accusen,naked,M
141,blaked,remedye,E
143,raked,dye,M
145,hercules,throwe,M
147,prees,lowe,M
149,knowe,glose,M
151,overthrowe,suppose,M
153,tresor,magestee,E
155,nabugodonosor,bee,M
157,citee,ladde,E
159,see,hadde,M
161,roial,anoon,M
163,thral,oon,M
165,everychon,expowned,E
167,noon,sowned,M
169,gold,brede,M
171,oold,drede,M
173,rede,obeye,E
175,dede,tweye,M
177,elaat,magestee,E
179,estaat,dignytee,E
181,bee,theroute,M
183,hee,aboute,M
185,heres,weere,M
187,yeres,teere,M
189,feere,trespace,M
191,beere,grace,M
193,balthasar,day,M
195,war,array,M
197,ay,pryde,M
199,lay,divide,M
201,alle,bee,M
203,calle,he,M
205,prosperitee,birafte,E
207,we,lafte,M
209,concubynes,laste,M
211,wynes,caste,M
213,faste,soore,M
215,agaste,namoore,F
217,noon,mente,M
219,anoon,lente,E
221,rente,dradde,M
223,sente,hadde,M
225,compaignye,habitacioun,E
227,drye,resoun,M
229,domynacioun,creature,E
231,compassioun,figure,E
233,also,verraily,E
235,foo,boldely,M
237,synfully,wynys,M
239,cursedly,ys,M
241,wal,me,M
243,al,be,M
245,he,slawe,M
247,degree,lawe,E
249,take,sikernesse,M
251,forsake,richesse,M
253,lesse,fortune,M
255,gesse,commune,M
257,queene,noblesse,M
259,keene,hardynesse,M
261,gentillesse,descended,F
263,fairnesse,amended,F
265,fledde,wente,M
267,shedde,sente,M
269,hente,wolde,M
271,torente,wille,M
273,seke,nyght,M
275,eke,myght,M
277,wight,stonde,M
279,wight,bonde,M
281,maried,contree,E
283,taried,he,M
285,she,in-feere,M
287,felicitee,deere,E
289,assente,lye,M
291,entente,multiplye,E
293,espye,dede,E
295,fantasye,drede,E
297,cast,game,M
299,past,same,M
301,tame,seyde,M
303,shame,pleyde,M
305,she,lettrure,M
307,we,creature,M
309,mesure,eke,M
311,endure,seke,M
313,told,clothyng,M
315,gold,huntyng,M
317,knowyng,entende,E
319,likyng,dispende,E
321,trete,she,M
323,grete,citee,E
325,magestee,faste,E
327,flee,laste,M
329,rede,mo,M
331,dede,therto,E
333,wo,ytake,M
335,go,undertake,M
337,myghtily,hond,M
339,cruelly,lond,M
341,fond,werreye,M
343,bond,pleye,M
345,claudius,galien,E
347,corageus,egipcien,E
349,arabyen,fighte,E
351,slen,flighte,M
353,two,alle,M
355,thymalao,calle,E
357,galle,endure,M
359,falle,mysaventure,M
361,governaunce,tweye,M
363,vengeaunce,weye,M
365,seye,hente,M
367,tweye,wente,M
369,wan,perree,M
371,aurelian,see,M
373,shee,hangynge,M
375,degree,clothynge,E
377,was,emperoures,M
379,allas,stoures,E
381,toures,vitremyte,M
383,floures,quyte,M
385,spayne,magestee,E
387,complayne,flee,M
389,subtiltee,tente,E
391,thee,rente,M
393,therinne,gleede,M
395,synne,nede,M
397,heede,armorike,M
399,meede,brike,M
401,also,maistrie,E
