Line Number,Word 1,Word 2,Rhyme Type
1,compaignye,folye,M
3,tavernes,gyternes,F
5,nyght,myght,M
7,sacrifise,wise,M
9,abhomynable,dampnable,F
11,swere,totere,M
13,ynough,lough,M
15,tombesteres,frutesteres,F
17,wafereres,officeres,F
19,lecherye,glotonye,M
21,witnesse,dronkenesse,M
23,unkyndely,unwityngly,M
25,wroughte,soghte,M
27,feeste,heeste,M
29,giltelees,doutelees,F
31,fynde,mynde,M
33,dronkelewe,shrewe,M
35,dronkenesse,cursednesse,F
37,confusioun,dampnacioun,F
39,agayn,sayn,M
41,vileynye,glotonye,M
43,also,wo,M
45,drede,rede,M
47,he,tree,M
49,peyne,pleyne,M
51,maladyes,glotonyes,M
53,mesurable,table,F
55,mouth,south,M
57,swynke,drynke,M
59,trete,mete,M
61,seith,feith,M
63,dede,rede,M
65,pryvee,superfluitee,M
67,pitously,I,M
69,voys,croys,M
71,god,cod,M
73,corrupcioun,soun,M
75,fynde,grynde,M
77,accident,talent,M
79,they,awey,M
81,swoote,roote,M
83,delit,appetit,F
85,delices,vices,F
87,dronkenesse,wrecchednesse,F
89,face,embrace,M
91,soun,sampsoun,M
93,wyn,swyn,M
95,cure,sepulture,F
97,discrecioun,dominacioun,F
99,drede,rede,M
101,lepe,chepe,M
103,subtilly,by,M
105,fumositee,thre,M
107,chepe,lepe,M
109,toun,sampsoun,M
111,preye,seye,M
113,testament,omnipotent,M
115,preyere,leere,M
117,conquerour,dishonour,M
119,dronkenesse,sobrenesse,F
121,wel,lamuel,M
123,I,expresly,M
125,justise,suffise,F
127,glotonye,hasardrye,M
129,lesynges,forswerynges,F
131,also,forthermo,M
133,honour,hasardour,M
135,estaat,desolaat,M
137,hasardrye,policye,M
139,opinioun,reputacioun,F
141,embassadour,honour,M
143,alliaunce,chaunce,F
145,lond,fond,M
147,be,contree,M
149,name,defame,M
151,hasardours,embassadours,F
153,dye,allye,M
155,honours,hasadours,M
157,tretee,hee,M
159,demetrius,us,M
161,scorn,ther-biforn,M
163,renoun,reputacioun,F
165,pley,awey,M
167,grete,trete,M
169,abhominable,reprevable,F
171,al,special,M
173,jeremye,lye,M
175,rightwisnesse,cursednesse,M
177,table,honurable,F
179,this,amys,M
181,sweryng,thyng,M
183,stondeth,understondeth,F
185,that,plat,M
187,hous,outrageous,M
189,nayles,hayles,F
191,treye,pleye,M
193,go,two,M
195,homycide,dyde,M
197,smale,tale,M
199,telle,belle,M
201,drynke,clynke,M
203,grave,knave,M
205,redily,forby,M
207,weel,never-a-deel,M
209,houres,youres,M
211,to-nyght,upright,E
213,deeth,sleth,M
215,atwo,mo,M
217,pestilence,presence,F
219,necessarie,adversarie,F
221,everemoore,namoore,M
223,taverner,yeer,M
225,village,page,M
227,there,were,M
229,dishonour,riotour,M
231,meete,strete,M
233,bones,ones,F
235,oother,brother,M
237,deeth,sleeth,M
239,nyght,plight,M
241,oother,brother,M
243,rage,village,M
245,biforn,sworn,M
247,torente,hente,M
249,mile,stile,M
251,mette,grette,M
253,see,three,M
255,grace,face,M
257,age,visage,M
259,fynde,ynde,M
261,village,age,M
263,stille,wille,M
265,lyf,kaitif,M
267,gate,late,M
269,in,skyn,M
271,reste,cheste,M
273,be,me,M
275,grace,face,M
277,curteisye,vileynye,M
279,dede,rede,M
281,heed,reed,M
283,now,yow,M
285,abyde,ryde,M
287,go,so,M
289,anon,john,M
291,deeth,sleeth,M
293,espye,abye,M
295,sacrement,assent,M
297,theef,leef,M
299,wey,fey,M
301,abyde,hyde,M
303,fynde,mankynde,M
305,man,ran,M
307,founde,rounde,M
309,thoughte,soughte,M
311,sighte,brighte,M
313,hoord,word,M
315,seye,pleye,M
317,yiven,lyven,M
319,spende,wende,M
321,grace,place,M
323,youres,oures,M
