Line Number,Word 1,Word 2,Rhyme Type
1,preche,speche,M
3,belle,telle,M
5,was,cupiditas,M
7,come,some,M
9,patente,warente,F
11,clerk,werk,M
13,tales,cardynales,F
15,shewe,fewe,M
17,predicacioun,devocioun,F
19,stones,bones,F
21,echoon,sholder-boon,F
23,sheep,keep,M
25,welle,swelle,M
27,ystonge,tonge,M
29,forthermoore,soore,M
31,welle,telle,M
33,oweth,croweth,F
35,draughte,taughte,M
37,multiplie,jalousie,M
39,rage,potage,M
41,mystriste,wiste,M
43,thre,se,M
45,mitayn,grayn,M
47,otes,grotes,F
49,yow,now,M
51,he,be,M
53,old,cokewold,M
55,grace,place,M
57,blame,name,M
59,auctoritee,me,M
61,yeer,pardoner,M
63,pulpet,yset,M
65,bifoore,moore,M
67,nekke,bekke,M
69,berne,yerne,M
71,bisynesse,cursednesse,M
73,free,me,M
75,wynne,synne,M
77,beryed,a-blakeberyed,F
79,predicacioun,entencioun,F
81,flaterye,ypocrisye,M
83,hate,debate,M
85,smerte,asterte,M
87,he,me,M
89,name,same,M
91,circumstances,displesances,F
93,hewe,trewe,M
95,devyse,coveityse,M
97,was,cupiditas,M
99,vice,avarice,M
101,synne,twynne,M
103,repente,entente,F
105,coveitise,suffise,M
107,oon,agoon,M
109,olde,holde,M
111,preche,teche,M
113,wilfully,trewwly,M
115,landes,handes,F
117,therby,ydelly,F
119,countrefete,whete,M
121,page,village,M
123,famyne,vyne,M
125,toun,conclusioun,M
127,tale,ale,M
129,thyng,likyng,M
131,man,kan,M
