Line Number,Word 1,Word 2,Rhyme Type
1,ended,descended,F
3,sighte,highte,M
5,gesse,lesse,M
7,there,were,M
9,proporcioun,exaltacioun,F
11,ascende,ende,M
13,gye,compaignye,M
15,everichoon,oon,M
17,decree,degree,F
19,ordinaunce,chaunce,F
21,lustily,vicary,M
23,fey,pley,M
25,tale,male,M
27,cheere,mateere,M
29,bones,atones,F
31,me,thymothee,M
33,soothfastnesse,wrecchednesse,M
35,fest,lest,M
37,heere,mateere,M
39,audience,reverence,F
41,kan,man,M
43,lettre,bettre,M
45,glose,prose,M
47,ende,sende,M
49,viage,pilgrymage,M
51,celestial,shal,M
53,preye,seye,M
55,meditacioun,correccioun,F
57,textueel,weel,M
59,protestacioun,correccioun,F
61,soone,doone,M
63,sentence,audience,F
65,seye,preye,M
67,alle,bifalle,M
69,meditacioun,adoun,F
71,space,grace,M
73,heere,manere,M
