Line Number,Word 1,Word 2,Rhyme Type
1,gesse,holdernesse,M
3,aboute,doute,M
5,frere,manere,M
7,thyng,prechyng,M
9,sake,make,M
11,honoured,devoured,F
13,yive,lyve,M
15,habundaunce,penaunce,F
17,yonge,ysonge,M
19,gay,day,M
21,soules,oules,F
23,bake,sake,M
25,entente,wente,M
27,leste,reste,M
29,hye,prye,M
31,corn,horn,M
33,yvory,fetisly,M
35,stood,good,M
37,preye,reye,M
39,chese,cheese,M
41,peny,eny,F
43,dame,name,M
45,fynde,bihynde,M
47,sak,bak,M
49,anon,everichon,M
51,tables,fables,F
53,frere,deere,M
55,al,shal,M
57,he,be,M
59,placis,is,M
61,lay,day,M
63,softe,ofte,M
65,weel,meel,M
67,cat,hat,M
69,adoun,toun,M
71,hostelrye,lye,M
73,man,bigan,M
75,moore,soore,M
77,savacion,orison,E
79,blesse,messe,M
81,wit,writ,M
83,suppose,glose,M
85,certeyn,seyn,M
87,charitable,resonable,F
89,she,be,M
91,anon,john,M
93,hertely,curteisly,M
95,narwe,sparwe,M
97,weel,deel,M
99,lyf,wyf,M
101,me,she,M
103,fey,alwey,M
105,leve,greve,M
107,throwe,slowe,M
109,conscience,diligence,F
111,poules,soules,F
113,rente,entente,M
115,she,trinitee,M
117,pissemyre,desire,F
119,warm,arm,M
121,sty,I,M
123,cas,thomas,M
125,amended,defended,F
127,two,go,M
129,theraboute,doute,M
131,lyvere,shyvere,F
133,heed,deed,M
135,suffisaunce,sustenaunce,F
137,bible,penyble,M
139,destroyed,anoyed,F
141,shewe,fewe,M
143,go,two,M
145,toun,revelacioun,M
147,dortour,hour,M
149,blisse,wisse,M
151,fermerer,yeer,M
153,loone,allone,M
155,eke,cheke,M
157,belles,elles,F
159,orison,revelacion,E
161,weel,effectueel,M
163,thynges,kynges,F
165,abstinence,despence,F
167,delit,despit,F
169,diversly,therby,F
171,clene,lene,M
173,foode,goode,M
175,freres,preyeres,M
177,nyght,myght,M
179,synay,day,M
181,writen,witen,F
183,speche,leche,M
185,contemplaunce,governaunce,F
187,everichon,gon,M
189,servyse,wyse,M
191,make,wake,M
193,seye,preye,M
195,suffiseth,devyseth,M
197,preyeres,freres,M
199,continence,abstinence,F
201,rightwisnesse,clennesse,M
203,preyeres,freres,M
205,acceptable,table,F
207,lye,glotonye,M
209,certeyn,seyn,M
211,suppose,glose,M
213,jhesus,thus,M
215,been,seen,M
217,professioun,possessioun,F
219,glotonye,diffye,M
221,jovinyan,swan,M
223,spence,reverence,F
225,davit,eructavit,F
227,foore,poore,M
229,auditours,sours,M
231,prayeres,freres,M
233,two,go,M
235,yve,thryve,M
237,nyght,myght,M
239,hastily,i,M
241,yeres,freres,M
243,bet,biset,M
245,ago,so,M
247,seche,leche,M
249,toun,confusioun,M
251,covent,insufficient,E
253,myte,lyte,M
255,otes,grotes,F
257,go,so,M
259,twelve,himselve,M
261,toscatered,yflatered,F
263,noght,wroght,M
265,hyre,desire,M
267,covent,diligent,M
