filename,lines,total_words,unique_words,unique_headwords
04-3-ch.cat,64,203,130,130
04-4-ch.cat,2348,7612,1578,1345
04-5-ch.cat,44,145,105,104
05-1-ch.cat,16,51,38,45
05-2-ch.cat,1400,4661,1165,1054
05-3-ch.cat,40,123,89,94
05-4-ch.cat,1792,5783,1317,1112
06-1-ch.cat,572,1804,583,573
06-2-ch.cat,84,266,155,162
06-3-ch.cat,268,863,359,363
06-4-ch.cat,1012,3218,931,875
07-0-ch.cat,904,2982,792,724
07-00-ch.cat,70,218,133,140
07-1-ch.cat,406,1326,492,466
07-2-ch.cat,42,131,95,105
07-3-ch.cat,510,1268,500,512
07-4-ch.cat,2588,14611,1943,1384
07-5-ch.cat,204,633,307,309
07-6-ch.cat,1552,5021,1257,1134
07-7-ch.cat,108,341,186,190
07-8-ch.cat,1252,4028,1106,1013
07-9-ch.cat,32,92,74,80
08-1-ch.cat,238,770,351,349
08-2-ch.cat,868,2735,804,685
08-3-ch.cat,332,1087,407,407
08-4-ch.cat,1524,4907,1108,1015
09-1-ch.cat,208,677,295,302
09-2-ch.cat,516,1635,564,540
10-1-ch.cat,148,452,225,227
10-2-ch.cat,3684,26217,3063,2378
clerks_prologue.cat,112,342,187,200
clerks_tale.cat,2326,7597,1513,1225
cooks_prologue.cat,80,257,145,149
cooks_tale.cat,116,391,193,191
friars_prologue.cat,72,221,134,134
friars_tale.cat,728,2274,684,644
full.txt,41096,152597,10410,6534
general_prologue.cat,1720,5658,1451,1440
knights_tale.cat,4500,14449,2487,2047
man_of_laws_epilogue.cat,56,152,107,114
man_of_laws_prologue.cat,266,810,392,398
man_of_laws_tale.cat,2058,6565,1500,1248
millers_prologue.cat,156,489,236,227
millers_tale.cat,1336,4134,1104,988
reeves_prologue.cat,132,440,232,230
reeves_tale.cat,808,2674,775,720
summoners_prologue.cat,88,283,161,164
summoners_tale.cat,1172,3679,1006,963
wife_of_baths_prologue.cat,1724,5667,1278,1191
wife_of_baths_tale.cat,816,2656,761,672
