Line Number,Word 1,Word 2,Rhyme Type
1,auctoritee,me,M
3,mariage,age,M
5,lyve,fyve,M
7,bee,degree,M
9,is,onis,M
11,galilee,me,M
13,ones,nones,F
15,man,samaritan,M
17,he,thee,M
19,certeyn,seyn,M
21,man,samaritan,M
23,mariage,age,M
25,diffinicioun,doun,M
27,lye,multiplye,M
29,understonde,housbonde,M
31,me,he,M
33,octogamye,vileynye,M
35,salomon,oon,M
37,me,he,M
39,wyvys,is,M
41,wit,fit,M
43,lyve,fyve,M
45,shal,al,M
47,ygon,anon,M
49,free,me,M
51,synne,brynne,M
53,vileynye,bigamye,M
55,man,kan,M
57,two,also,M
59,age,mariage,M
61,me,virginitee,M
63,drede,maydenhede,M
65,noon,oon,M
67,comandement,juggement,F
69,maydenhede,dede,M
71,ysowe,growe,M
73,leeste,heeste,M
75,birginitee,see,M
77,wight,myght,M
79,mayde,sayde,M
81,he,virginitee,M
83,leve,repreve,M
85,dye,bigamye,M
87,touche,couche,M
89,assemble,resemble,M
91,virginitee,freletee,M
93,she,chastitee,M
95,envie,bigamye,E
97,goost,boost,M
99,houshold,gold,M
101,servyse,wyse,M
103,yifte,shifte,M
105,perfeccion,devocion,M
107,welle,selle,M
109,poore,foore,M
111,parfitly,I,M
113,age,mariage,M
115,conclusion,generacion,M
117,ywroght,noght,M
119,doun,purgacioun,M
121,smale,male,M
123,no,so,M
125,wrothe,bothe,M
127,ese,displese,M
129,sette,dette,M
131,paiement,instrument,M
133,creature,engendrure,F
135,holde,tolde,M
137,engendrure,cure,F
139,man,bigan,M
141,chastitee,virginitee,F
143,whete-seed,barly-breed,M
145,kan,man,M
147,us,precius,M
149,instrument,sent,M
151,sorwe,morwe,M
153,dette,lette,M
155,thral,withal,M
157,wyf,lyf,M
159,he,me,M
161,weel,deel,M
163,anon,john,M
165,cas,allas,M
167,deere,to-yeere,M
169,bigonne,tonne,M
171,ale,tale,M
173,mariage,age,M
175,whippe,sippe,M
177,abroche,approche,F
179,ten,men,M
181,be,ptholomee,M
183,there,were,M
185,bigan,man,M
187,praktike,like,M
189,compaignye,fantasye,M
191,seye,pleye,M
193,tale,ale,M
195,hadde,badde,M
197,olde,holde,M
199,me,pardee,M
201,thynke,swynke,M
203,stoor,tresoor,M
205,diligence,reverence,F
207,above,love,M
209,oon,noon,M
211,hond,lond,M
213,plese,ese,M
215,fey,weilawey,M
217,trowe,dunmowe,M
219,lawe,fawe,M
221,fayre,faire,M
223,spitously,proprely,M
225,understonde,honde,M
227,man,kan,M
229,wyse,mysavyse,M
231,good,wood,M
233,mayde,sayde,M
235,array,gay,M
237,gooth,clooth,M
239,hous,amorous,M
241,benedicite,be,M
243,freend,feend,M
245,hous,mous,M
247,preef,meschief,M
249,costage,parage,M
251,tormentrie,malencolie,M
253,knave,have,M
255,abyde,syde,M
257,richesse,fairnesse,M
259,daunce,daliaunce,F
261,smale,tale,M
263,wal,al,M
265,she,se,M
267,lepe,chepe,M
269,lake,make,M
271,welde,helde,M
273,bedde,wedde,M
275,hevene,levene,F
277,tobroke,smoke,M
279,flee,benedicitee,M
281,chide,hide,M
283,shewe,shrewe,M
285,houndes,stoundes,F
287,bye,housbondrye,M
289,array,assay,F
291,shrewe,shewe,M
293,me,beautee,M
295,face,place,M
297,day,gay,M
299,honour,bour,M
301,allyes,lyes,M
303,janekyn,fyn,M
305,doun,suspecioun,M
307,tomorwe,sorwe,M
309,me,pardee,M
311,dame,jame,M
313,wood,good,M
315,yen,spyen,M
317,chiste,liste,M
319,talys,alys,F
321,charge,large,M
323,be,ptholome,M
325,almageste,hyeste,M
327,honde,understonde,M
329,care,fare,M
331,leve,eve,M
333,werne,lanterne,M
335,pardee,thee,M
337,gay,array,M
339,chastitee,thee,M
341,name,shame,M
343,he,perree,M
345,riche,rubriche,M
347,gnat,cat,M
349,skyn,in,M
351,gay,day,M
353,dawed,a-caterwawed,F
355,shrewe,shewe,M
357,spyen,yen,M
359,best,lest,M
361,thee,thre,M
363,erthe,ferthe,M
365,lyf,wyf,M
367,meschances,resemblances,F
369,to,tho,M
371,helle,dwelle,M
373,fyr,desir,M
375,be,tree,M
377,housbonde,bonde,M
379,understonde,honde,M
381,dronkenesse,witnesse,M
383,also,wo,M
385,pyne,whyne,M
387,gilt,spilt,M
389,grynt,ystynt,M
391,blyve,lyve,M
393,honde,stonde,M
395,he,chiertee,M
397,nyghte,dighte,M
399,myrthe,byrthe,M
401,yive,lyve,M
403,me,degree,M
405,thyng,grucchyng,M
407,meschaunce,plesaunce,F
409,abyde,syde,M
411,me,necetee,M
413,telle,selle,M
415,lure,endure,F
417,appetit,delit,F
419,chide,biside,M
421,bord,word,M
423,omnipotent,testament,M
425,quit,wit,M
427,beste,reste,M
429,leon,conclusion,M
431,keep,sheep,M
433,cheke,meke,M
435,conscience,pacience,F
437,preche,teche,M
439,pees,doutelees,M
441,resonable,suffrable,F
443,grone,allone,M
445,deel,weel,M
447,chose,rose,M
449,tooth,sooth,M
451,honde,housbonde,M
453,revelour,paramour,M
455,ragerye,pye,M
457,smale,nyghtyngale,M
459,wyn,swyn,M
461,lyf,wyf,M
463,drynke,thynke,M
465,hayl,tayl,M
467,defence,experience,F
469,me,jolitee,M
471,roote,boote,M
473,tyme,envenyme,M
475,pith,therwith,M
477,telle,selle,M
479,fonde,housbonde,M
481,despit,delit,F
483,joce,croce,M
485,manere,cheere,M
487,frye,jalousye,M
489,purgatorie,glorie,F
491,song,wrong,M
493,wiste,twiste,M
495,jerusalem,beem,M
497,curyus,daryus,M
499,subtilly,preciously,M
501,reste,cheste,M
503,telle,helle,M
505,shrewe,rewe,M
507,day,gay,M
509,glose,chose,M
511,bon,anon,M
513,he,me,M
515,lye,fantasye,M
517,have,crave,M
519,we,fle,M
521,chaffare,ware,M
523,prys,wys,M
525,blesse,richesse,M
527,oxenford,bord,M
529,toun,alisoun,M
531,privetee,thee,M
533,al,wal,M
535,lyf,wyf,M
537,weel,deel,M
539,woot,hoot,M
541,he,pryvetee,M
543,lente,wente,M
545,gay,may,M
547,talys,alys,F
549,wente,lente,M
551,pleye,seye,M
553,grace,place,M
555,visitaciouns,processiouns,M
557,pilgrimages,mariages,M
559,gytes,mytes,F
561,deel,weel,M
563,me,we,M
565,daliance,purveiance,F
567,he,me,M
569,bobance,purveiance,F
571,eek,leek,M
573,to,ydo,M
575,me,soutiltee,M
577,nyght,upright,M
579,blood,good,M
581,taught,naught,M
583,loore,moore,M
585,seyn,ageyn,M
587,beere,cheere,M
589,usage,visage,M
591,make,undertake,M
593,a-morwe,sorwe,M
595,tho,go,M
597,paire,faire,M
599,hoold,oold,M
601,sooth,tooth,M
603,weel,seel,M
605,oon,bigon,M
607,me,be,M
609,venerien,marcien,M
611,likerousnesse,hardynesse,M
613,therinne,synne,M
615,inclinacioun,constellacioun,F
617,withdrawe,felawe,M
619,face,place,M
621,savacioun,discrecioun,F
623,appetit,whit,M
625,me,degree,M
627,ende,hende,M
629,solempnytee,fee,M
631,therbifoore,soore,M
633,list,lyst,M
635,leef,deef,M
637,leonesse,jangleresse,M
639,biforn,sworn,M
641,preche,teche,M
643,wyf,lyf,M
645,say,day,M
647,name,game,M
649,eke,seke,M
651,ecclesiaste,faste,M
653,aboute,doute,M
655,salwes,falwes,F
657,halwes,galwes,F
659,hawe,sawe,M
661,be,me,M
663,I,outrely,M
665,cas,thomas,M
667,leef,deef,M
669,day,alway,M
671,theofraste,faste,M
673,rome,jerome,M
675,jovinian,tertulan,E
677,helowys,parys,M
679,salomon,on,M
681,volume,custume,M
683,vacacioun,occupacioun,F
685,wyves,lyves,F
687,bible,impossible,F
689,wyves,lyves,F
691,mo,who,M
693,stories,oratories,F
695,wikkednesse,redresse,F
697,venus,contrarius,E
699,science,dispence,F
701,disposicioun,exaltacioun,F
703,desolat,exaltat,M
705,reysed,preysed,F
707,do,sho,M
709,dotage,mariage,M
711,thee,pardee,M
713,sire,fire,M
715,wikkednesse,wrecchednesse,F
717,slayn,agayn,M
719,fynde,mankynde,M
721,heres,sheres,F
723,yen,lyen,M
725,dianyre,afyre,M
727,wo,two,M
729,heed,deed,M
731,seyn,reyn,M
733,crete,swete,M
735,thyng,likyng,M
737,lecherye,dye,M
739,devocioun,occasioun,F
