Line Number,Word 1,Word 2,Rhyme Type
1,arthour,honour,M
3,fayerye,compaignye,M
5,mede,rede,M
7,ago,mo,M
9,prayers,freres,M
11,streem,sonne-beem,M
13,boures,toures,F
15,dayeryes,fayeryes,F
17,elf,hymself,M
19,morwenynges,thynges,F
21,lymytacioun,doun,M
23,tree,he,M
25,dishonour,arthour,M
27,bacheler,ryver,M
29,born,biforn,M
31,heed,maydenhed,M
33,clamour,arthour,F
35,deed,heed,M
37,tho,mo,M
39,grace,place,M
41,wille,spille,M
43,myght,knyght,M
45,day,array,M
47,suretee,me,M
49,desiren,iren,F
51,anon,gon,M
53,leere,mateere,M
55,pace,place,M
57,siketh,liketh,F
59,wende,ende,M
61,purveye,weye,M
63,place,grace,M
65,moost,coost,M
67,mateere,in-feere,M
69,richesse,jolynesse,M
71,abedde,wedde,M
73,esed,yplesed,F
75,lye,flaterye,M
77,bisynesse,lesse,M
79,best,lest,M
81,vice,nyce,M
83,alle,galle,M
85,sooth,dooth,M
87,withinne,synne,M
89,we,secree,M
91,dwelle,telle,M
93,rake-stele,hele,M
95,tale,smale,M
97,heres,eres,F
99,myghte,sighte,M
101,namo,also,F
103,creature,disfigure,F
105,wynne,synne,M
107,name,shame,M
109,dyde,hyde,M
111,herte,asterte,M
113,man,ran,M
115,a-fyre,myre,M
117,doun,soun,M
119,namo,two,M
121,oute,doute,M
123,abyde,hyde,M
125,heere,leere,M
127,moost,goost,M
129,sojourne,tourne,M
131,ryde,syde,M
133,go,mo,M
135,yerne,lerne,M
137,there,where,M
139,lyf,wyf,M
141,devyse,ryse,M
143,wey,fey,M
145,be,she,M
147,certeyn,seyn,M
149,desire,hire,M
151,she,thee,M
153,myght,nyght,M
155,grante,avante,M
157,therby,I,M
159,alle,calle,M
161,teche,speche,M
163,ere,fere,M
165,knyght,hight,M
167,sayde,mayde,M
169,wise,justise,M
171,heere,appeere,M
173,silence,audience,F
175,best,best,M
177,answerde,herde,M
179,he,sovereynetee,M
181,love,above,M
183,kille,wille,M
185,mayde,sayde,M
187,lyf,wyf,M
189,grene,queene,M
191,right,knyght,M
193,there,requere,M
195,myghte,knyght,M
197,wyf,lyf,M
199,fey,weylawey,M
201,biheste,requeste,M
203,go,two,M
205,poore,oore,M
207,above,love,M
209,dampnacioun,nacioun,F
211,be,he,M
213,wedde,bedde,M
215,paraventure,cure,F
217,array,day,M
219,shal,al,M
221,sorwe,morwe,M
223,owle,foule,M
225,thoght,ybroght,M
227,fro,everemo,M
229,benedicitee,ye,M
231,hous,dangerous,M
233,wyf,lyf,M
235,unright,nyght,M
237,wit,it,M
239,may,nay,M
241,mo,also,M
243,kynde,wynde,M
245,breste,unreste,M
247,is,this,M
249,thre,me,M
251,gentillesse,richesse,F
253,men,hen,M
255,alway,ay,M
257,kan,man,M
259,gentillesse,richesse,F
261,heritage,parage,M
263,thyng,lyvyng,M
265,be,degree,M
267,florence,sentence,F
269,tale,smale,M
271,goodnesse,gentillesse,M
273,clayme,mayme,M
275,I,natureelly,M
277,lyne,fyne,M
279,office,vice,M
281,hous,kaukasous,M
283,thenne,brenne,M
285,biholde,holde,M
287,dye,genterye,M
289,possessioun,operacioun,F
291,kynde,fynde,M
293,vileynye,gentrye,M
295,hous,vertuous,M
297,dedis,is,M
299,erl,cherl,M
301,renomee,bountee,M
303,persone,allone,M
305,grace,place,M
307,valerius,hostillius,M
309,noblesse,boece,M
311,is,dedis,M
313,conclude,rude,M
315,I,vertuously,M
317,bigynne,synne,M
319,repreeve,bileeve,M
321,lyf,wyf,M
323,kyng,lyvyng,M
325,certeyn,seyn,M
327,poverte,sherte,M
329,wight,myght,M
331,have,knave,M
333,proprely,myrily,M
335,weye,pleye,M
337,gesse,bisynesse,M
339,sapience,pacience,F
341,alenge,chalenge,F
343,lowe,knowe,M
345,me,see,M
347,greve,repreve,M
349,me,auctoritee,M
351,honour,favour,M
353,gentillesse,gesse,M
355,old,cokewold,M
357,thee,chastitee,M
359,delit,appetit,F
361,tweye,deye,M
363,wyf,lyf,M
365,fair,repair,M
367,me,be,M
369,liketh,siketh,F
371,manere,deere,M
373,governance,plesance,F
375,also,two,M
377,me,she,M
379,lest,best,M
381,wrothe,bothe,M
383,good,wood,M
385,trewe,newe,M
387,seene,queene,M
389,west,lest,M
391,is,this,M
393,therto,two,M
395,blisse,kisse,M
397,thyng,likyng,M
399,ende,sende,M
401,abedde,wedde,M
403,lyves,wyves,F
405,dispence,pestilence,F
